Participant,Behavioral_Variable,Wellness_Variable,r,p,N,Included,p_FDR,Significant_FDR
p04,Steps,readiness,-0.1649246846098883,0.1822971552429333,67,Yes,0.7903846046797374,False
p04,Steps,sleep_quality,-0.1801833898031686,0.1445428593778709,67,Yes,0.7557619388028496,False
p04,Steps,stress,-0.0172294481858661,0.8899358975880153,67,Yes,0.9845421930474553,False
p04,Exercise_Count,fatigue,-0.1585329488991639,0.2000712993784486,67,Yes,0.8285654103201084,False
p04,Exercise_Count,mood,0.1376942338103574,0.2664959692775637,67,Yes,0.8596962564472517,False
p04,Exercise_Count,readiness,-0.1990081446774381,0.1064210174570057,67,Yes,0.7406147741470405,False
p04,Exercise_Count,sleep_quality,-0.01777088474564,0.8864996584041993,67,Yes,0.9845421930474553,False
p04,Exercise_Count,stress,0.1114848591850505,0.3690927546622036,67,Yes,0.9385259214587792,False
p04,Exercise_Duration,fatigue,-0.1610180413748409,0.1930194118462405,67,Yes,0.816530335798845,False
p04,Exercise_Duration,mood,0.1317244148713379,0.2879823004434343,67,Yes,0.9020858579509726,False
p04,Exercise_Duration,readiness,-0.1833952255036554,0.1374018932503413,67,Yes,0.7433988371082126,False
p04,Exercise_Duration,sleep_quality,-0.1193957133264694,0.3358725916153751,67,Yes,0.9332282182116363,False
p04,Exercise_Duration,stress,0.0083372340599927,0.94661348732699,67,Yes,0.9910120961368076,False
p04,Exercise_Distance,fatigue,-0.1946208439053221,0.1145213392161435,67,Yes,0.7406147741470405,False
p04,Exercise_Distance,mood,0.0845131829903623,0.4965235606264128,67,Yes,0.9589230766395099,False
p04,Exercise_Distance,readiness,-0.1891568897343908,0.1252623814340457,67,Yes,0.7406147741470405,False
p04,Exercise_Distance,sleep_quality,-0.1734637689806402,0.1603756549200458,67,Yes,0.7557619388028496,False
p04,Exercise_Distance,stress,0.0081553984918416,0.9477762067531122,67,Yes,0.9910120961368076,False
p04,Exercise_Calories,fatigue,-0.2677021458520214,0.0285138991832991,67,Yes,0.5934598980556051,False
p04,Exercise_Calories,mood,0.0356840386926577,0.7743565990949632,67,Yes,0.9845220176535154,False
p04,Exercise_Calories,readiness,-0.2783761662900831,0.0225474492149389,67,Yes,0.5934598980556051,False
p04,Exercise_Calories,sleep_quality,-0.174546547293136,0.1577413960122968,67,Yes,0.7557619388028496,False
p04,Exercise_Calories,stress,-0.0652477058594556,0.5998722155590679,67,Yes,0.9589230766395099,False
p04,Exercise_Avg_HR,fatigue,-0.1026840816903055,0.4556617246455163,55,Yes,0.9411697561136416,False
p04,Exercise_Avg_HR,mood,-0.0564471910334175,0.6822938967409081,55,Yes,0.9662730133664443,False
p04,Exercise_Avg_HR,readiness,-0.2083654516923023,0.1268613701276664,55,Yes,0.7406147741470405,False
p04,Exercise_Avg_HR,sleep_quality,-0.2407366585154051,0.0766467200734408,55,Yes,0.7253010181425795,False
p04,Exercise_Avg_HR,stress,-0.0817450839832033,0.5529753768232031,55,Yes,0.9589230766395099,False
p04,Sleep_Hours,fatigue,0.130175969575943,0.2937366879612098,67,Yes,0.9020858579509726,False
p04,Sleep_Hours,mood,0.1389462674958939,0.2621301195734853,67,Yes,0.8596962564472517,False
p04,Sleep_Hours,readiness,0.0255869452020349,0.837157769281135,67,Yes,0.9845421930474553,False
p04,Sleep_Hours,sleep_quality,0.0224546874661861,0.8568673480860709,67,Yes,0.9845421930474553,False
p04,Sleep_Hours,stress,0.1200426197206293,0.3332418747183702,67,Yes,0.9332282182116363,False
p04,Sleep_Duration_Score,fatigue,0.0153155933830457,0.9028560500639996,66,Yes,0.9845421930474553,False
p04,Sleep_Duration_Score,mood,0.0190265728860526,0.8794764599681805,66,Yes,0.9845421930474553,False
p04,Sleep_Duration_Score,readiness,0.0419287592582961,0.7381761350569765,66,Yes,0.9741115167626994,False
p04,Sleep_Duration_Score,sleep_quality,0.1902559978627961,0.1259849513837073,66,Yes,0.7406147741470405,False
p04,Sleep_Duration_Score,stress,0.0451455871212589,0.7188916614400108,66,Yes,0.9680554577840222,False
p04,Deep_Sleep_Minutes,fatigue,0.1251001506126195,0.3131243564191094,67,Yes,0.9182872540102501,False
p04,Deep_Sleep_Minutes,mood,0.0963031311955503,0.438194925137978,67,Yes,0.9411697561136416,False
p04,Deep_Sleep_Minutes,readiness,0.0487336751960938,0.6953329237738527,67,Yes,0.9662730133664443,False
p04,Deep_Sleep_Minutes,sleep_quality,0.1014537752139676,0.4139753600187812,67,Yes,0.9385259214587792,False
p04,Deep_Sleep_Minutes,stress,0.0630299779300955,0.6123528488586057,67,Yes,0.9589230766395099,False
p04,Sleep_Restlessness,fatigue,0.06017477093994,0.6312579962316536,66,Yes,0.9589230766395099,False
p04,Sleep_Restlessness,mood,0.0248137134721855,0.8432279056248942,66,Yes,0.9845421930474553,False
p04,Sleep_Restlessness,readiness,0.0220365776443269,0.8605872233869291,66,Yes,0.9845421930474553,False
p04,Sleep_Restlessness,sleep_quality,0.2017102895621338,0.1043471997395428,66,Yes,0.7406147741470405,False
p04,Sleep_Restlessness,stress,-0.1307655865324782,0.2953077630564578,66,Yes,0.9025019706041219,False
p04,Sleep_Composition,fatigue,0.1114276542597269,0.3730769296286511,66,Yes,0.9385259214587792,False
p04,Sleep_Composition,mood,0.0709011403543099,0.5715903881006904,66,Yes,0.9589230766395099,False
p04,Sleep_Composition,readiness,0.1704657831714008,0.1711713082944072,66,Yes,0.7765115079397327,False
p04,Sleep_Composition,sleep_quality,0.089664503213437,0.4740136350189152,66,Yes,0.9551193611476931,False
p04,Sleep_Composition,stress,0.063829104264442,0.6106386440257092,66,Yes,0.9589230766395099,False
p04,Sleep_Revitalization,fatigue,0.0436092943198933,0.7280806023515354,66,Yes,0.970065945620742,False
p04,Sleep_Revitalization,mood,0.0429488827644918,0.7320425316905145,66,Yes,0.9718677380150945,False
p04,Sleep_Revitalization,readiness,0.3005672458700458,0.0142003458758905,66,Yes,0.5048827753119189,False
p04,Sleep_Revitalization,sleep_quality,-0.0964905390549254,0.4408751877821049,66,Yes,0.9411697561136416,False
p04,Sleep_Revitalization,stress,-0.0732372223622942,0.5589515184189193,66,Yes,0.9589230766395099,False
p04,Sleep_Score,fatigue,0.0534304489529275,0.6700481223311299,66,Yes,0.9662730133664443,False
p04,Sleep_Score,mood,0.0462097258168929,0.7125498794322299,66,Yes,0.9680554577840222,False
p04,Sleep_Score,readiness,0.1882372800324577,0.1301287296057102,66,Yes,0.7406147741470405,False
p04,Sleep_Score,sleep_quality,0.1063887655586396,0.395208877152597,66,Yes,0.9385259214587792,False
p04,Sleep_Score,stress,0.0147797095865258,0.9062394640201464,66,Yes,0.9845421930474553,False
p05,Steps,fatigue,0.1032079213902941,0.4576871343493857,54,Yes,0.9411697561136416,False
p05,Steps,mood,-0.0018552583649032,0.989377032586259,54,Yes,0.9976710262044862,False
p05,Steps,readiness,0.2112412260952708,0.1251925277901293,54,Yes,0.7406147741470405,False
p05,Steps,sleep_quality,0.2500561444147968,0.0682088530424596,54,Yes,0.6972277706480936,False
p05,Steps,stress,0.0634825828621363,0.6483578173779392,54,Yes,0.965906831000927,False
p05,Exercise_Count,fatigue,-0.091817275350855,0.4969575749732957,57,Yes,0.9589230766395099,False
p05,Exercise_Count,mood,-0.1421235654823145,0.2916073298211917,57,Yes,0.9020858579509726,False
p05,Exercise_Count,readiness,0.0136910104400638,0.9194873165005382,57,Yes,0.9860019090961047,False
p05,Exercise_Count,sleep_quality,0.0766903996140581,0.5707084640978713,57,Yes,0.9589230766395099,False
p05,Exercise_Count,stress,-0.2263247771091759,0.0904738740292398,57,Yes,0.7253010181425795,False
p05,Exercise_Duration,fatigue,-0.0189884574643532,0.8885049628335856,57,Yes,0.9845421930474553,False
p05,Exercise_Duration,mood,-0.2692804819212735,0.0428092719159864,57,Yes,0.6355751799440725,False
p05,Exercise_Duration,readiness,0.056072971847083,0.6786625350727474,57,Yes,0.9662730133664443,False
p05,Exercise_Duration,sleep_quality,0.1062837918535145,0.4313520179926816,57,Yes,0.9411697561136416,False
p05,Exercise_Duration,stress,-0.2368405365750493,0.076092215772451,57,Yes,0.7253010181425795,False
p05,Exercise_Distance,fatigue,0.0102490007711348,0.9396848874644296,57,Yes,0.9910120961368076,False
p05,Exercise_Distance,mood,0.0122327781771503,0.9280387390138606,57,Yes,0.9860019090961047,False
p05,Exercise_Distance,readiness,0.0391230398217975,0.7726278757927817,57,Yes,0.9845220176535154,False
p05,Exercise_Distance,sleep_quality,0.3886059834711893,0.0028146799028863,57,Yes,0.20447428049905295,False
p05,Exercise_Distance,stress,0.2309782890611944,0.0838673848113784,57,Yes,0.7253010181425795,False
p05,Exercise_Calories,fatigue,-0.0109130059374017,0.9357851989759368,57,Yes,0.9891612964903409,False
p05,Exercise_Calories,mood,-0.2689773653301849,0.0430527389399544,57,Yes,0.6355751799440725,False
p05,Exercise_Calories,readiness,0.0721320162370685,0.5938846681042851,57,Yes,0.9589230766395099,False
p05,Exercise_Calories,sleep_quality,0.1139133923759368,0.3988231154606737,57,Yes,0.9385259214587792,False
p05,Exercise_Calories,stress,-0.2126019006720783,0.1123407497499899,57,Yes,0.7406147741470405,False
p05,Exercise_Avg_HR,fatigue,0.288379575896462,0.1156535179146338,31,Yes,0.7406147741470405,False
p05,Exercise_Avg_HR,mood,-0.1560111490638699,0.4019818506640744,31,Yes,0.9385259214587792,False
p05,Exercise_Avg_HR,readiness,0.4550888400278148,0.0101002695385648,31,Yes,0.3998788530949973,False
p05,Exercise_Avg_HR,sleep_quality,0.2158389638761386,0.2435478724266221,31,Yes,0.8551991294294325,False
p05,Exercise_Avg_HR,stress,0.236418766042479,0.200378371418896,31,Yes,0.8285654103201084,False
