Participant,Behavioral_Variable,Wellness_Variable,r,p,N,Included,p_FDR,Significant_raw,Significant_FDR
p04,Sleep_Revitalization,fatigue,,,7,No,,False,False
p04,Sleep_Revitalization,mood,,,7,No,,False,False
p04,Sleep_Revitalization,readiness,,,7,No,,False,False
p04,Sleep_Revitalization,sleep_quality,,,7,No,,False,False
p04,Sleep_Revitalization,stress,,,7,No,,False,False
p04,Sleep_Score,fatigue,,,5,No,,False,False
p04,Sleep_Score,mood,,,5,No,,False,False
p04,Sleep_Score,readiness,,,5,No,,False,False
p04,Sleep_Score,sleep_quality,,,5,No,,False,False
p04,Sleep_Score,stress,,,5,No,,False,False
p05,Steps,fatigue,,,5,No,,False,False
p05,Steps,mood,,,5,No,,False,False
p05,Steps,readiness,,,5,No,,False,False
p05,Steps,sleep_quality,,,5,No,,False,False
p05,Steps,stress,,,5,No,,False,False
p05,Exercise_Duration,fatigue,,,1,No,,False,False
p05,Exercise_Duration,mood,,,1,No,,False,False
p05,Exercise_Duration,readiness,,,1,No,,False,False
p05,Exercise_Duration,sleep_quality,,,1,No,,False,False
p05,Exercise_Duration,stress,,,1,No,,False,False
p05,Exercise_Distance,fatigue,,,1,No,,False,False
p05,Exercise_Distance,mood,,,1,No,,False,False
p05,Exercise_Distance,readiness,,,1,No,,False,False
p05,Exercise_Distance,sleep_quality,,,1,No,,False,False
p05,Exercise_Distance,stress,,,1,No,,False,False
p05,Exercise_Calories,fatigue,,,1,No,,False,False
p05,Exercise_Calories,mood,,,1,No,,False,False
p05,Exercise_Calories,readiness,,,1,No,,False,False
p05,Exercise_Calories,sleep_quality,,,1,No,,False,False
p05,Exercise_Calories,stress,,,1,No,,False,False
p05,Exercise_Avg_HR,fatigue,,,2,No,,False,False
p05,Exercise_Avg_HR,mood,,,2,No,,False,False
p05,Exercise_Avg_HR,readiness,,,2,No,,False,False
p05,Exercise_Avg_HR,sleep_quality,,,2,No,,False,False
p05,Exercise_Avg_HR,stress,,,2,No,,False,False
p05,Sleep_Hours,fatigue,,,2,No,,False,False
p05,Sleep_Hours,mood,,,2,No,,False,False
p05,Sleep_Hours,readiness,,,2,No,,False,False
p05,Sleep_Hours,sleep_quality,,,2,No,,False,False
p05,Sleep_Hours,stress,,,2,No,,False,False
p05,Sleep_Duration_Score,fatigue,,,8,No,,False,False
p05,Sleep_Duration_Score,mood,,,8,No,,False,False
p05,Sleep_Duration_Score,readiness,,,8,No,,False,False
p05,Sleep_Duration_Score,sleep_quality,,,8,No,,False,False
p05,Sleep_Duration_Score,stress,,,8,No,,False,False
p05,Deep_Sleep_Minutes,fatigue,,,1,No,,False,False
p05,Deep_Sleep_Minutes,mood,,,1,No,,False,False
p05,Deep_Sleep_Minutes,readiness,,,1,No,,False,False
p05,Deep_Sleep_Minutes,sleep_quality,,,1,No,,False,False
p05,Deep_Sleep_Minutes,stress,,,1,No,,False,False
p05,Sleep_Composition,fatigue,,,5,No,,False,False
p05,Sleep_Composition,mood,,,5,No,,False,False
p05,Sleep_Composition,readiness,,,5,No,,False,False
p05,Sleep_Composition,sleep_quality,,,5,No,,False,False
p05,Sleep_Composition,stress,,,5,No,,False,False
p05,Sleep_Revitalization,fatigue,,,3,No,,False,False
p05,Sleep_Revitalization,mood,,,3,No,,False,False
p05,Sleep_Revitalization,readiness,,,3,No,,False,False
p05,Sleep_Revitalization,sleep_quality,,,3,No,,False,False
p05,Sleep_Revitalization,stress,,,3,No,,False,False
p05,Sleep_Score,fatigue,,,8,No,,False,False
p05,Sleep_Score,mood,,,8,No,,False,False
p05,Sleep_Score,readiness,,,8,No,,False,False
p05,Sleep_Score,sleep_quality,,,8,No,,False,False
p05,Sleep_Score,stress,,,8,No,,False,False
p06,Steps,fatigue,,,1,No,,False,False
p06,Steps,mood,,,1,No,,False,False
p06,Steps,readiness,,,1,No,,False,False
p06,Steps,sleep_quality,,,1,No,,False,False
p06,Steps,stress,,,1,No,,False,False
p06,Exercise_Count,fatigue,0.37499999999999994,0.2558018582340981,11,Yes,0.8448119808914648,False,False
p06,Exercise_Count,mood,,,11,No,,False,False
p06,Exercise_Count,readiness,-0.6166698388447786,0.04330165305409883,11,Yes,0.7361281019196801,True,False
p06,Exercise_Count,sleep_quality,-0.32780503405359285,0.3250618651896461,11,Yes,0.8448119808914648,False,False
p06,Exercise_Count,stress,-0.19364916731037085,0.5683217589713185,11,Yes,0.8783154456829468,False,False
p06,Exercise_Duration,fatigue,,,3,No,,False,False
p06,Exercise_Duration,mood,,,3,No,,False,False
p06,Exercise_Duration,readiness,,,3,No,,False,False
p06,Exercise_Duration,sleep_quality,,,3,No,,False,False
p06,Exercise_Duration,stress,,,3,No,,False,False
p06,Exercise_Calories,fatigue,,,1,No,,False,False
p06,Exercise_Calories,mood,,,1,No,,False,False
p06,Exercise_Calories,readiness,,,1,No,,False,False
p06,Exercise_Calories,sleep_quality,,,1,No,,False,False
p06,Exercise_Calories,stress,,,1,No,,False,False
p06,Sleep_Hours,fatigue,,,3,No,,False,False
p06,Sleep_Hours,mood,,,3,No,,False,False
p06,Sleep_Hours,readiness,,,3,No,,False,False
p06,Sleep_Hours,sleep_quality,,,3,No,,False,False
p06,Sleep_Hours,stress,,,3,No,,False,False
p06,Sleep_Duration_Score,fatigue,,,2,No,,False,False
p06,Sleep_Duration_Score,mood,,,2,No,,False,False
p06,Sleep_Duration_Score,readiness,,,2,No,,False,False
p06,Sleep_Duration_Score,sleep_quality,,,2,No,,False,False
p06,Sleep_Duration_Score,stress,,,2,No,,False,False
p06,Deep_Sleep_Minutes,fatigue,,,1,No,,False,False
p06,Deep_Sleep_Minutes,mood,,,1,No,,False,False
p06,Deep_Sleep_Minutes,readiness,,,1,No,,False,False
p06,Deep_Sleep_Minutes,sleep_quality,,,1,No,,False,False
p06,Deep_Sleep_Minutes,stress,,,1,No,,False,False
p06,Sleep_Revitalization,fatigue,,,4,No,,False,False
p06,Sleep_Revitalization,mood,,,4,No,,False,False
p06,Sleep_Revitalization,readiness,,,4,No,,False,False
p06,Sleep_Revitalization,sleep_quality,,,4,No,,False,False
p06,Sleep_Revitalization,stress,,,4,No,,False,False
p06,Sleep_Score,fatigue,,,2,No,,False,False
p06,Sleep_Score,mood,,,2,No,,False,False
p06,Sleep_Score,readiness,,,2,No,,False,False
p06,Sleep_Score,sleep_quality,,,2,No,,False,False
p06,Sleep_Score,stress,,,2,No,,False,False
p07,Steps,fatigue,,,1,No,,False,False
p07,Steps,mood,,,1,No,,False,False
p07,Steps,readiness,,,1,No,,False,False
p07,Steps,sleep_quality,,,1,No,,False,False
p07,Steps,stress,,,1,No,,False,False
p07,Exercise_Count,fatigue,,,1,No,,False,False
p07,Exercise_Count,mood,,,1,No,,False,False
p07,Exercise_Count,readiness,,,1,No,,False,False
p07,Exercise_Count,sleep_quality,,,1,No,,False,False
p07,Exercise_Count,stress,,,1,No,,False,False
p07,Exercise_Duration,fatigue,,,4,No,,False,False
p07,Exercise_Duration,mood,,,4,No,,False,False
p07,Exercise_Duration,readiness,,,4,No,,False,False
p07,Exercise_Duration,sleep_quality,,,4,No,,False,False
p07,Exercise_Duration,stress,,,4,No,,False,False
p07,Exercise_Avg_HR,fatigue,,,5,No,,False,False
p07,Exercise_Avg_HR,mood,,,5,No,,False,False
p07,Exercise_Avg_HR,readiness,,,5,No,,False,False
p07,Exercise_Avg_HR,sleep_quality,,,5,No,,False,False
p07,Exercise_Avg_HR,stress,,,5,No,,False,False
p07,Sleep_Hours,fatigue,,,5,No,,False,False
p07,Sleep_Hours,mood,,,5,No,,False,False
p07,Sleep_Hours,readiness,,,5,No,,False,False
p07,Sleep_Hours,sleep_quality,,,5,No,,False,False
p07,Sleep_Hours,stress,,,5,No,,False,False
p07,Sleep_Duration_Score,fatigue,,,1,No,,False,False
p07,Sleep_Duration_Score,mood,,,1,No,,False,False
p07,Sleep_Duration_Score,readiness,,,1,No,,False,False
p07,Sleep_Duration_Score,sleep_quality,,,1,No,,False,False
p07,Sleep_Duration_Score,stress,,,1,No,,False,False
p07,Deep_Sleep_Minutes,fatigue,,,2,No,,False,False
