Participant,Behavioral_Variable,Wellness_Variable,r,p,N,Included,p_FDR,Significant_FDR
p03,Exercise_Count,readiness,,,41,Yes,,False
p03,Exercise_Count,sleep_quality,,,41,Yes,,False
p03,Exercise_Count,stress,0.0847607005522321,0.5982638081776331,41,Yes,0.8315210498251542,False
p03,Exercise_Duration,fatigue,-0.4116794437150307,0.0074896616653632,41,Yes,0.0875354207139324,False
p03,Exercise_Duration,mood,-0.200240365591531,0.2093800455046687,41,Yes,0.5141586524472916,False
p03,Exercise_Duration,readiness,,,41,Yes,,False
p03,Exercise_Duration,sleep_quality,,,41,Yes,,False
p03,Exercise_Duration,stress,0.081310250192592,0.613294187575896,41,Yes,0.843279507916857,False
p03,Exercise_Distance,fatigue,,,41,Yes,,False
p03,Exercise_Distance,mood,,,41,Yes,,False
p03,Exercise_Distance,readiness,,,41,Yes,,False
p03,Exercise_Distance,sleep_quality,,,41,Yes,,False
p03,Exercise_Distance,stress,,,41,Yes,,False
p03,Exercise_Calories,fatigue,-0.400808974146188,0.0094055343585705,41,Yes,0.1034608779442755,False
p03,Exercise_Calories,mood,-0.1776718713109732,0.2664206368204837,41,Yes,0.5748044296031758,False
p03,Exercise_Calories,readiness,,,41,Yes,,False
p03,Exercise_Calories,sleep_quality,,,41,Yes,,False
p03,Exercise_Calories,stress,0.0609752034874873,0.7049030125898725,41,Yes,0.8967133561517425,False
p03,Exercise_Avg_HR,fatigue,-0.1143406444409357,0.58628707726743,25,Yes,0.8315210498251542,False
p03,Exercise_Avg_HR,mood,0.064343101227656,0.7599384798840674,25,Yes,0.9215759952341535,False
p03,Exercise_Avg_HR,readiness,,,25,Yes,,False
p03,Exercise_Avg_HR,sleep_quality,,,25,Yes,,False
p03,Exercise_Avg_HR,stress,-0.2054498874556204,0.3245155987678704,25,Yes,0.6387833365220186,False
p03,Sleep_Hours,fatigue,0.2406572254166944,0.2173489629645296,28,Yes,0.5157900517051655,False
p03,Sleep_Hours,mood,-0.024112639564438,0.9030634980768122,28,Yes,0.9672440328944539,False
p03,Sleep_Hours,readiness,,,28,Yes,,False
p03,Sleep_Hours,sleep_quality,,,28,Yes,,False
p03,Sleep_Hours,stress,0.1092842121114585,0.5798695581237819,28,Yes,0.8315210498251542,False
p03,Sleep_Duration_Score,fatigue,0.2407193815580395,0.2172265776707556,28,Yes,0.5157900517051655,False
p03,Sleep_Duration_Score,mood,0.4294284131471034,0.0225778242153147,28,Yes,0.15805384500023242,False
p03,Sleep_Duration_Score,readiness,,,28,Yes,,False
p03,Sleep_Duration_Score,sleep_quality,,,28,Yes,,False
p03,Sleep_Duration_Score,stress,0.0300899226947549,0.8791902651596271,28,Yes,0.9567898957077794,False
p03,Deep_Sleep_Minutes,fatigue,-0.0259488322585454,0.8957200095798935,28,Yes,0.9659725593508656,False
p03,Deep_Sleep_Minutes,mood,-0.366787433869709,0.0548720140317945,28,Yes,0.26299064344538314,False
p03,Deep_Sleep_Minutes,readiness,,,28,Yes,,False
p03,Deep_Sleep_Minutes,sleep_quality,,,28,Yes,,False
p03,Deep_Sleep_Minutes,stress,0.2061490562762222,0.2925875656710874,28,Yes,0.6079319420054816,False
p03,Sleep_Restlessness,fatigue,0.2706314098281657,0.1636471146729356,28,Yes,0.4552197722998,False
p03,Sleep_Restlessness,mood,-0.4137149071717161,0.0286344972958275,28,Yes,0.1802636730335722,False
p03,Sleep_Restlessness,readiness,,,28,Yes,,False
p03,Sleep_Restlessness,sleep_quality,,,28,Yes,,False
p03,Sleep_Restlessness,stress,-0.0609531979068159,0.7579944091122602,28,Yes,0.9210961739737078,False
p03,Sleep_Composition,fatigue,0.3664936328686438,0.0550814059876551,28,Yes,0.26299064344538314,False
p03,Sleep_Composition,mood,-0.0140564764123647,0.943404073803185,28,Yes,0.9772762894570279,False
p03,Sleep_Composition,readiness,,,28,Yes,,False
p03,Sleep_Composition,sleep_quality,,,28,Yes,,False
p03,Sleep_Composition,stress,-0.2222994166580299,0.2555526565612566,28,Yes,0.5668845768068351,False
p03,Sleep_Revitalization,fatigue,-0.03557375178608,0.8573779227849226,28,Yes,0.9463217694014057,False
p03,Sleep_Revitalization,mood,0.090794198782813,0.6458862132823098,28,Yes,0.8541776653733516,False
p03,Sleep_Revitalization,readiness,,,28,Yes,,False
p03,Sleep_Revitalization,sleep_quality,,,28,Yes,,False
p03,Sleep_Revitalization,stress,0.0549776163966692,0.781119180433651,28,Yes,0.9292293572688372,False
p03,Sleep_Score,fatigue,0.2422070600288063,0.2143112503972083,28,Yes,0.5152714355192772,False
p03,Sleep_Score,mood,0.3138454316517114,0.1038660649192452,28,Yes,0.36438595619728886,False
p03,Sleep_Score,readiness,,,28,Yes,,False
p03,Sleep_Score,sleep_quality,,,28,Yes,,False
p03,Sleep_Score,stress,-0.0186313123099081,0.9250291295252764,28,Yes,0.9726508121837331,False
p04,Steps,fatigue,-0.011786520068843,0.9200559168096636,75,Yes,0.9725282285208253,False
p04,Steps,mood,0.4343096707750398,9.895820602316393e-05,75,Yes,0.004869785401666224,True
p04,Steps,readiness,0.1319113836426146,0.2592621974549133,75,Yes,0.5690379216439999,False
p04,Steps,sleep_quality,0.2282983220606465,0.0488367641590161,75,Yes,0.248930190633224,False
p04,Steps,stress,0.2635197683532571,0.022350644555934,75,Yes,0.15805384500023242,False
p04,Exercise_Count,fatigue,-0.0515683555971294,0.660381417051912,75,Yes,0.8649520301087344,False
p04,Exercise_Count,mood,0.1613713071539381,0.1666257179741234,75,Yes,0.4597201232784839,False
p04,Exercise_Count,readiness,0.0373918668235762,0.7501090631567215,75,Yes,0.9210961739737078,False
p04,Exercise_Count,sleep_quality,0.2469022248657371,0.0327199062029282,75,Yes,0.19362729303631562,False
p04,Exercise_Count,stress,0.2402078218845129,0.0379107091061908,75,Yes,0.2109911488945738,False
p04,Exercise_Duration,fatigue,-0.0192955643602259,0.8694846875506124,75,Yes,0.9520764397104008,False
p04,Exercise_Duration,mood,0.1124826354305091,0.3366424444772642,75,Yes,0.6450014048898403,False
p04,Exercise_Duration,readiness,0.0768564404369014,0.5122183582009032,75,Yes,0.786410779832257,False
p04,Exercise_Duration,sleep_quality,-0.0125482158466935,0.9149082266945684,75,Yes,0.972089990862979,False
p04,Exercise_Duration,stress,0.1464004927439292,0.2100834341019414,75,Yes,0.5142094525793592,False
p04,Exercise_Distance,fatigue,0.058627526325372,0.6173345096599713,75,Yes,0.8438710037018613,False
p04,Exercise_Distance,mood,0.3238693546661989,0.0045896180611101,75,Yes,0.06971716491853247,False
p04,Exercise_Distance,readiness,0.1988365940548351,0.0872335422692392,75,Yes,0.32495363355274365,False
p04,Exercise_Distance,sleep_quality,0.22371228737528,0.0536818968839175,75,Yes,0.26141965409616075,False
p04,Exercise_Distance,stress,0.2866769690373788,0.0126464366410701,75,Yes,0.11539878384091631,False
p04,Exercise_Calories,fatigue,-0.0072066836824778,0.9510691408351472,75,Yes,0.9772762894570279,False
p04,Exercise_Calories,mood,0.1990901427379799,0.0868229175508407,75,Yes,0.32471771164014424,False
p04,Exercise_Calories,readiness,0.1081754113501816,0.3555871417037934,75,Yes,0.6611915782401112,False
p04,Exercise_Calories,sleep_quality,0.097026489565042,0.4076041078251461,75,Yes,0.7097017519860551,False
p04,Exercise_Calories,stress,0.2409666278417463,0.037289865485171,75,Yes,0.20877858819541847,False
p04,Exercise_Avg_HR,fatigue,0.0464222224768069,0.7223948171569743,61,Yes,0.9066297369688201,False
p04,Exercise_Avg_HR,mood,0.2304912996825678,0.0739213252180279,61,Yes,0.30718417368380485,False
p04,Exercise_Avg_HR,readiness,0.163642856553871,0.2076096753263648,61,Yes,0.5121769035096334,False
p04,Exercise_Avg_HR,sleep_quality,0.3022563295092224,0.017907412530183,61,Yes,0.13975972782417967,False
p04,Exercise_Avg_HR,stress,0.2577087807151808,0.0449482443148341,61,Yes,0.23348115796872157,False
p04,Sleep_Hours,fatigue,0.0400214872123418,0.7331702313981471,75,Yes,0.9134617090555999,False
p04,Sleep_Hours,mood,-0.1052625544123158,0.3687647046992341,75,Yes,0.6746104422065439,False
p04,Sleep_Hours,readiness,0.0190810842233591,0.8709229019194593,75,Yes,0.9520764397104008,False
p04,Sleep_Hours,sleep_quality,0.1191950435324853,0.3084126851088008,75,Yes,0.6268823056015843,False
p04,Sleep_Hours,stress,0.0624712047665186,0.594414260862629,75,Yes,0.8315210498251542,False
p04,Sleep_Duration_Score,fatigue,0.1647394509467197,0.1607303197297183,74,Yes,0.44994864954277425,False
p04,Sleep_Duration_Score,mood,0.0245058997976725,0.8358147178169235,74,Yes,0.943001407776937,False
p04,Sleep_Duration_Score,readiness,0.0929356388605356,0.4309549557614763,74,Yes,0.726023213760325,False
p04,Sleep_Duration_Score,sleep_quality,0.2949707446612127,0.010733000385338,74,Yes,0.10790704688484978,False
p04,Sleep_Duration_Score,stress,0.1372032303369192,0.2437375428222994,74,Yes,0.5531422391719659,False
p04,Deep_Sleep_Minutes,fatigue,0.0495140427894709,0.6731265214953874,75,Yes,0.8753453374105525,False
p04,Deep_Sleep_Minutes,mood,-0.0784113972202673,0.5036946573954642,75,Yes,0.7803958646911925,False
p04,Deep_Sleep_Minutes,readiness,0.0861660785138048,0.4623057835398567,75,Yes,0.7517494045387234,False
p04,Deep_Sleep_Minutes,sleep_quality,0.2205111658276381,0.0572914293667365,75,Yes,0.26783743228949314,False
p04,Deep_Sleep_Minutes,stress,0.0935247208891759,0.4248150931340846,75,Yes,0.7246282339455543,False
p04,Sleep_Restlessness,fatigue,-0.0849707874612824,0.4716447552925514,74,Yes,0.7564113999974881,False
p04,Sleep_Restlessness,mood,-0.181769693418742,0.1211500470142616,74,Yes,0.38529011550453945,False
p04,Sleep_Restlessness,readiness,-0.034011479092296,0.7735917101796028,74,Yes,0.9292293572688372,False
p04,Sleep_Restlessness,sleep_quality,-0.1512552333342032,0.1982997701261865,74,Yes,0.5065854783278262,False
p04,Sleep_Restlessness,stress,-0.0859055205257009,0.4667647405616095,74,Yes,0.7544711880865324,False
p04,Sleep_Composition,fatigue,0.1419524581394146,0.2276430613470415,74,Yes,0.528154497169935,False
p04,Sleep_Composition,mood,0.0324906300245846,0.7834628326927873,74,Yes,0.9293731422684368,False
p04,Sleep_Composition,readiness,0.0641832625127732,0.5869327599060803,74,Yes,0.8315210498251542,False
p04,Sleep_Composition,sleep_quality,0.2878400016261314,0.0128893656138937,74,Yes,0.11539878384091631,False
p04,Sleep_Composition,stress,0.0834839179248412,0.4794637469967658,74,Yes,0.7637114198330085,False
p04,Sleep_Revitalization,fatigue,0.311028408965452,0.0069910781036359,74,Yes,0.08489166268700735,False
p04,Sleep_Revitalization,mood,0.315044052499133,0.0062576337735907,74,Yes,0.08194450766985496,False
p04,Sleep_Revitalization,readiness,0.3101325499339442,0.0071646580695586,74,Yes,0.08508375168806985,False
p04,Sleep_Revitalization,sleep_quality,0.1884715117616013,0.1078046877793158,74,Yes,0.36582155749828615,False
p04,Sleep_Revitalization,stress,0.2175022660812229,0.0626701292712598,74,Yes,0.2790312898506091,False
