Participant,Behavioral_Variable,Wellness_Variable,Window,Relationship,r,p,N,Included,p_FDR,Significant_raw,Significant_FDR
p03,Exercise_Duration,fatigue,Previous 7 days,7-day history → current well-being,0.03927255590715656,0.7277698284780347,81,True,0.929263624226062,False,False
p03,Exercise_Duration,mood,Previous 7 days,7-day history → current well-being,-0.11647248934504563,0.30044064428542877,81,True,0.6740568101325118,False,False
p03,Exercise_Duration,readiness,Previous 7 days,7-day history → current well-being,0.1698613031168857,0.1295115471319328,81,True,0.4646235742651079,False,False
p03,Exercise_Duration,sleep_quality,Previous 7 days,7-day history → current well-being,0.09757852376640969,0.3861461092268801,81,True,0.7347829168755551,False,False
p03,Exercise_Duration,stress,Previous 7 days,7-day history → current well-being,-0.007968183992455148,0.9437160086555483,81,True,0.9925140323527736,False,False
p03,Exercise_Distance,fatigue,Previous 7 days,7-day history → current well-being,0.06559534384346363,0.5606950593481417,81,True,0.8385062577069424,False,False
p03,Exercise_Distance,mood,Previous 7 days,7-day history → current well-being,0.09372144908462343,0.4052866327967404,81,True,0.7384213907984712,False,False
p03,Exercise_Distance,readiness,Previous 7 days,7-day history → current well-being,-0.0034197126637975947,0.9758284925324353,81,True,0.9937742115046837,False,False
p03,Exercise_Distance,sleep_quality,Previous 7 days,7-day history → current well-being,0.0,0.9999999999999971,81,True,0.9999999999999971,False,False
p03,Exercise_Distance,stress,Previous 7 days,7-day history → current well-being,-0.3978332610192086,0.00023517233954923898,81,True,0.017865177139519392,True,True
p03,Exercise_Calories,fatigue,Previous 7 days,7-day history → current well-being,0.03492837768904721,0.7568926095967559,81,True,0.9379797958420278,False,False
p03,Exercise_Calories,mood,Previous 7 days,7-day history → current well-being,-0.11530072229298743,0.3053627388976691,81,True,0.6740568101325118,False,False
p03,Exercise_Calories,readiness,Previous 7 days,7-day history → current well-being,0.1695671130148544,0.13018660546240154,81,True,0.4646235742651079,False,False
p03,Exercise_Calories,sleep_quality,Previous 7 days,7-day history → current well-being,0.0859606893216733,0.44544223434891855,81,True,0.7544350921208938,False,False
p03,Exercise_Calories,stress,Previous 7 days,7-day history → current well-being,-0.048097140640638664,0.669821428773381,81,True,0.891330228012009,False,False
p03,Exercise_Avg_HR,fatigue,Previous 7 days,7-day history → current well-being,0.031237132297712234,0.7988799269573813,69,True,0.9479863049660642,False,False
p03,Exercise_Avg_HR,mood,Previous 7 days,7-day history → current well-being,0.034787325306911324,0.7765850738374108,69,True,0.9382188093011782,False,False
p03,Exercise_Avg_HR,readiness,Previous 7 days,7-day history → current well-being,-0.16192816011444297,0.18375059731423155,69,True,0.5490772286608694,False,False
p03,Exercise_Avg_HR,sleep_quality,Previous 7 days,7-day history → current well-being,-0.00564045003092693,0.9633122470406055,69,True,0.9937742115046837,False,False
p03,Exercise_Avg_HR,stress,Previous 7 days,7-day history → current well-being,-0.46760103088920735,5.0995372516819504e-05,69,True,0.009381430328331143,True,True
p03,Sleep_Hours,fatigue,Previous 7 days,7-day history → current well-being,0.07454417553719221,0.5366862276840128,71,True,0.8224032151579016,False,False
p03,Sleep_Hours,mood,Previous 7 days,7-day history → current well-being,-0.03003891134658902,0.8036116312294567,71,True,0.9479863049660642,False,False
p03,Sleep_Hours,readiness,Previous 7 days,7-day history → current well-being,-0.07548938889012065,0.5315195061627697,71,True,0.8207341203718918,False,False
p03,Sleep_Hours,sleep_quality,Previous 7 days,7-day history → current well-being,-0.17714649508999053,0.13943879309371188,71,True,0.477400613642878,False,False
p03,Sleep_Hours,stress,Previous 7 days,7-day history → current well-being,0.16640916180144893,0.16544424489994064,71,True,0.5304720233299685,False,False
p03,Sleep_Duration_Score,fatigue,Previous 7 days,7-day history → current well-being,-0.03550507001583126,0.775458544087221,67,True,0.9379797958420278,False,False
p03,Sleep_Duration_Score,mood,Previous 7 days,7-day history → current well-being,-0.11074921066834469,0.3722801425562004,67,True,0.7307641902781732,False,False
p03,Sleep_Duration_Score,readiness,Previous 7 days,7-day history → current well-being,-0.15803795501871798,0.20149759694796412,67,True,0.5781607185154652,False,False
p03,Sleep_Duration_Score,sleep_quality,Previous 7 days,7-day history → current well-being,0.02370593277402036,0.8489827830134603,67,True,0.9692448887571409,False,False
p03,Sleep_Duration_Score,stress,Previous 7 days,7-day history → current well-being,-0.030336911541675567,0.8074621703880677,67,True,0.9494025519114649,False,False
p03,Deep_Sleep_Minutes,fatigue,Previous 7 days,7-day history → current well-being,0.06752845317569409,0.5757902642042121,71,True,0.8483838711108788,False,False
p03,Deep_Sleep_Minutes,mood,Previous 7 days,7-day history → current well-being,0.029548435980089653,0.8067556695600928,71,True,0.9494025519114649,False,False
p03,Deep_Sleep_Minutes,readiness,Previous 7 days,7-day history → current well-being,-0.0015025664550056966,0.990077665330948,71,True,0.9952596724412626,False,False
p03,Deep_Sleep_Minutes,sleep_quality,Previous 7 days,7-day history → current well-being,-0.12384739981880481,0.303478903541992,71,True,0.6740568101325118,False,False
p03,Deep_Sleep_Minutes,stress,Previous 7 days,7-day history → current well-being,0.16263026398218394,0.1753972196479703,71,True,0.5368217934680303,False,False
p03,Sleep_Restlessness,fatigue,Previous 7 days,7-day history → current well-being,-0.1184282441048091,0.33983120328147515,67,True,0.7070181449874434,False,False
p03,Sleep_Restlessness,mood,Previous 7 days,7-day history → current well-being,0.04850731415643278,0.6966792498707491,67,True,0.9126407812833419,False,False
p03,Sleep_Restlessness,readiness,Previous 7 days,7-day history → current well-being,-0.05855168525750969,0.6378899565705012,67,True,0.8765562668519813,False,False
p03,Sleep_Restlessness,sleep_quality,Previous 7 days,7-day history → current well-being,-0.02349208840512913,0.8503292737205536,67,True,0.9692448887571409,False,False
p03,Sleep_Restlessness,stress,Previous 7 days,7-day history → current well-being,0.056209910909490686,0.6514153244485412,67,True,0.8831268156953378,False,False
p03,Sleep_Composition,fatigue,Previous 7 days,7-day history → current well-being,-0.020904376903241723,0.8666557369776253,67,True,0.9704238296534385,False,False
p03,Sleep_Composition,mood,Previous 7 days,7-day history → current well-being,0.0420029930923741,0.7357489254022401,67,True,0.9336693999816424,False,False
p03,Sleep_Composition,readiness,Previous 7 days,7-day history → current well-being,-0.12291633469775841,0.3217131458090706,67,True,0.6855069140657413,False,False
p03,Sleep_Composition,sleep_quality,Previous 7 days,7-day history → current well-being,0.13905500613327026,0.2617532384019668,67,True,0.6448067580146011,False,False
p03,Sleep_Composition,stress,Previous 7 days,7-day history → current well-being,-0.00897747216305065,0.9425204837674489,67,True,0.9925140323527736,False,False
p03,Sleep_Revitalization,fatigue,Previous 7 days,7-day history → current well-being,0.14192433951290517,0.25194034660363823,67,True,0.6300655278630797,False,False
p03,Sleep_Revitalization,mood,Previous 7 days,7-day history → current well-being,-0.028954903349579213,0.8160762006258442,67,True,0.9528751013087892,False,False
