Participant,Behavioral_Variable,Wellness_Variable,r,p,N,Included,p_FDR,Significant_raw,Significant_FDR
p03,Exercise_Avg_HR,sleep_quality,,,24,No,,False,False
p03,Exercise_Avg_HR,stress,-0.22609375477726154,0.2880846528738611,24,Yes,0.6072041863851874,False,False
p03,Sleep_Hours,fatigue,0.24598528798491262,0.21615873592461088,27,Yes,0.5187809662190661,False,False
p03,Sleep_Hours,mood,-0.019283590287424497,0.923943315275576,27,Yes,0.970302198072367,False,False
p03,Sleep_Hours,readiness,,,27,No,,False,False
p03,Sleep_Hours,sleep_quality,,,27,No,,False,False
p03,Sleep_Hours,stress,0.11401327480613507,0.5712244618677941,27,Yes,0.8232994101767813,False,False
p03,Sleep_Duration_Score,fatigue,0.2535533511085243,0.20190768357240133,27,Yes,0.5056106690510906,False,False
p03,Sleep_Duration_Score,mood,0.4469973872805474,0.019408829626416345,27,Yes,0.1467894677628127,True,False
p03,Sleep_Duration_Score,readiness,,,27,No,,False,False
p03,Sleep_Duration_Score,sleep_quality,,,27,No,,False,False
p03,Sleep_Duration_Score,stress,0.0396177111107069,0.8444572708603528,27,Yes,0.9335252300162542,False,False
p03,Deep_Sleep_Minutes,fatigue,-0.03831642621518963,0.8495079593147914,27,Yes,0.9335252300162542,False,False
p03,Deep_Sleep_Minutes,mood,-0.3899358378952725,0.04435898551697297,27,Yes,0.22683572139361174,True,False
p03,Deep_Sleep_Minutes,readiness,,,27,No,,False,False
p03,Deep_Sleep_Minutes,sleep_quality,,,27,No,,False,False
p03,Deep_Sleep_Minutes,stress,0.19962858058113792,0.3181279929252068,27,Yes,0.6362559858504137,False,False
p03,Sleep_Restlessness,fatigue,0.2672164578670452,0.1778355430718529,27,Yes,0.470741143425493,False,False
p03,Sleep_Restlessness,mood,-0.422129693784892,0.028282984520499967,27,Yes,0.1755495590927584,True,False
p03,Sleep_Restlessness,readiness,,,27,No,,False,False
p03,Sleep_Restlessness,sleep_quality,,,27,No,,False,False
p03,Sleep_Restlessness,stress,-0.06627410065900996,0.7425816346539574,27,Yes,0.9076296729271508,False,False
p03,Sleep_Composition,fatigue,0.37242093863502135,0.055741413070223955,27,Yes,0.25986948779256486,False,False
p03,Sleep_Composition,mood,-0.009157263423887105,0.9638428328695509,27,Yes,0.9846294546908011,False,False
p03,Sleep_Composition,readiness,,,27,No,,False,False
p03,Sleep_Composition,sleep_quality,,,27,No,,False,False
p03,Sleep_Composition,stress,-0.21907114037354197,0.27226281241422406,27,Yes,0.5848127235627725,False,False
p03,Sleep_Revitalization,fatigue,-0.044163050983024914,0.8268636805183421,27,Yes,0.9313858729242903,False,False
p03,Sleep_Revitalization,mood,0.08250350279056888,0.6824560524047252,27,Yes,0.8863065615645781,False,False
p03,Sleep_Revitalization,readiness,,,27,No,,False,False
p03,Sleep_Revitalization,sleep_quality,,,27,No,,False,False
p03,Sleep_Revitalization,stress,0.047560208750949906,0.813766925867458,27,Yes,0.9286917721652733,False,False
p03,Sleep_Score,fatigue,0.24497385220012022,0.21811349970084273,27,Yes,0.5220602856756478,False,False
p03,Sleep_Score,mood,0.31731880610577373,0.1067851049531247,27,Yes,0.36293627278656426,False,False
p03,Sleep_Score,readiness,,,27,No,,False,False
p03,Sleep_Score,sleep_quality,,,27,No,,False,False
p03,Sleep_Score,stress,-0.016460693626095025,0.9350520458186179,27,Yes,0.973136155762784,False,False
p04,Steps,fatigue,0.005652762933999583,0.9624126593645173,72,Yes,0.9842856743500745,False,False
p04,Steps,mood,0.4232972274453323,0.00021163008430834213,72,Yes,0.01002458294092147,True,True
p04,Steps,readiness,0.13235187050686512,0.2677444094230343,72,Yes,0.5806505264595924,False,False
p04,Steps,sleep_quality,0.22972010257634706,0.05223754898768657,72,Yes,0.25619496796706326,False,False
p04,Steps,stress,0.2652306119200523,0.02434375868173564,72,Yes,0.16598017283001573,True,False
p04,Exercise_Count,fatigue,-0.047622002395410735,0.691190853386836,72,Yes,0.8919140254108158,False,False
p04,Exercise_Count,mood,0.15781386179513862,0.18551215451438915,72,Yes,0.4836273342053005,False,False
p04,Exercise_Count,readiness,0.03709608343916218,0.7570414110447002,72,Yes,0.9096883708842638,False,False
p04,Exercise_Count,sleep_quality,0.2476647405954759,0.0359472485683605,72,Yes,0.2073879725097721,True,False
p04,Exercise_Count,stress,0.23996171579385647,0.04232855904609076,72,Yes,0.22278188971626714,True,False
p04,Exercise_Duration,fatigue,-0.0027417218803809647,0.981764214180019,72,Yes,0.9872489304603543,False,False
p04,Exercise_Duration,mood,0.09543299694646619,0.4252036797874167,72,Yes,0.7261542918570683,False,False
p04,Exercise_Duration,readiness,0.07652106025117315,0.5229031264426756,72,Yes,0.79978532278518,False,False
p04,Exercise_Duration,sleep_quality,-0.015486792519968783,0.8972645651257121,72,Yes,0.9579336994224684,False,False
p04,Exercise_Duration,stress,0.14643351922456957,0.21966759850495676,72,Yes,0.5230180916784685,False,False
p04,Exercise_Distance,fatigue,0.07304101262999531,0.5420327995859942,72,Yes,0.8116963720921709,False,False
p04,Exercise_Distance,mood,0.31337699146040193,0.007352695719133766,72,Yes,0.09190869648917208,True,False
p04,Exercise_Distance,readiness,0.19940428723436357,0.09309366887462443,72,Yes,0.34273298856193896,False,False
p04,Exercise_Distance,sleep_quality,0.22446837523187962,0.058011652553209864,72,Yes,0.2636893297873176,False,False
p04,Exercise_Distance,stress,0.2875604242013985,0.014313400699786122,72,Yes,0.12268629171245247,True,False
p04,Exercise_Calories,fatigue,0.011083779963351761,0.9263756246103259,72,Yes,0.9707161981493039,False,False
p04,Exercise_Calories,mood,0.18248353256370897,0.12497103125796852,72,Yes,0.3891831423258535,False,False
p04,Exercise_Calories,readiness,0.10836470148950679,0.3648911849218081,72,Yes,0.6729550541590723,False,False
p04,Exercise_Calories,sleep_quality,0.09598988333437959,0.42249464584561014,72,Yes,0.724418292781824,False,False
p04,Exercise_Calories,stress,0.2425779492808153,0.04006358665482553,72,Yes,0.2152752645277014,True,False
p04,Exercise_Avg_HR,fatigue,0.07377789811924548,0.5820481991273865,58,Yes,0.8271138780495642,False,False
p04,Exercise_Avg_HR,mood,0.20475830889736205,0.12311408153335188,58,Yes,0.38607203268298496,False,False
p04,Exercise_Avg_HR,readiness,0.15981679289672335,0.23077934397174776,58,Yes,0.5365005655458465,False,False
p04,Exercise_Avg_HR,sleep_quality,0.3047719098314524,0.020008564887318295,58,Yes,0.14882403635195426,True,False
p04,Exercise_Avg_HR,stress,0.2601070846405783,0.04862333935589484,58,Yes,0.24584834505789527,True,False
p04,Sleep_Hours,fatigue,0.03358689901580896,0.7794119150593529,72,Yes,0.9169666891946469,False,False
p04,Sleep_Hours,mood,-0.09856049299827144,0.41011856637139676,72,Yes,0.712561215703199,False,False
p04,Sleep_Hours,readiness,0.01963435569523818,0.8699649705848252,72,Yes,0.9456140984617666,False,False
p04,Sleep_Hours,sleep_quality,0.12112168094735727,0.31082058357178244,72,Yes,0.6302851111490557,False,False
p04,Sleep_Hours,stress,0.06331353277153995,0.5972485520157014,72,Yes,0.8326037553379021,False,False
p04,Sleep_Duration_Score,fatigue,0.14460393587197554,0.22891341552364639,71,Yes,0.5351222700552772,False,False
p04,Sleep_Duration_Score,mood,0.05466853360403286,0.650687233874715,71,Yes,0.8675829784996201,False,False
p04,Sleep_Duration_Score,readiness,0.09680101050800975,0.4219340856214038,71,Yes,0.724418292781824,False,False
p04,Sleep_Duration_Score,sleep_quality,0.30897249486718276,0.008748682260700951,71,Yes,0.0984226754328857,True,False
p04,Sleep_Duration_Score,stress,0.1436939146075418,0.23188746666370477,71,Yes,0.5365005655458465,False,False
p04,Deep_Sleep_Minutes,fatigue,0.030045016825015015,0.8021735384286618,72,Yes,0.9264233603453292,False,False
p04,Deep_Sleep_Minutes,mood,-0.05686462238271044,0.6351777154331573,72,Yes,0.8570613851421911,False,False
p04,Deep_Sleep_Minutes,readiness,0.08933958420221591,0.45548721580497925,72,Yes,0.7483556414269482,False,False
p04,Deep_Sleep_Minutes,sleep_quality,0.22905006923587587,0.05294696004652641,72,Yes,0.25619496796706326,False,False
p04,Deep_Sleep_Minutes,stress,0.09744948540619192,0.4154413868331942,72,Yes,0.71903316951899,False,False
p04,Sleep_Restlessness,fatigue,-0.09981351166434187,0.4075651167825351,71,Yes,0.7094944005885524,False,False
p04,Sleep_Restlessness,mood,-0.16899924753642345,0.15886666867542196,71,Yes,0.43858896260085817,False,False
p04,Sleep_Restlessness,readiness,-0.033581031537263634,0.7810010813322612,71,Yes,0.9169666891946469,False,False
p04,Sleep_Restlessness,sleep_quality,-0.15090578503126767,0.2090460911936826,71,Yes,0.514047765230367,False,False
p04,Sleep_Restlessness,stress,-0.08514198358501021,0.48020780169963884,71,Yes,0.7709267178224009,False,False
p04,Sleep_Composition,fatigue,0.11497371541421812,0.33969866225767165,71,Yes,0.656070377750868,False,False
p04,Sleep_Composition,mood,0.07442153495961604,0.5373584112858847,71,Yes,0.8098020249866137,False,False
p04,Sleep_Composition,readiness,0.0692285133939658,0.566194743585503,71,Yes,0.8179378318249643,False,False
p04,Sleep_Composition,sleep_quality,0.3099174650453432,0.008534500774474828,71,Yes,0.09805752877202258,True,False
p04,Sleep_Composition,stress,0.09142688550197318,0.4482758193637404,71,Yes,0.7457453556882927,False,False
p04,Sleep_Revitalization,fatigue,0.31878896863805817,0.006737051393596003,71,Yes,0.0891668566799471,True,False
p04,Sleep_Revitalization,mood,0.3115648523916961,0.008172062142317272,71,Yes,0.09805752877202258,True,False
p04,Sleep_Revitalization,readiness,0.31025496190583746,0.00845912457773959,71,Yes,0.09805752877202258,True,False
p04,Sleep_Revitalization,sleep_quality,0.18874153905284516,0.114947566563493,71,Yes,0.37351706055858624,False,False
p04,Sleep_Revitalization,stress,0.2172130420294247,0.06882393675500659,71,Yes,0.2949597289500282,False,False
p04,Sleep_Score,fatigue,0.2521966610967226,0.03385840417833897,71,Yes,0.20047739316121757,True,False
p04,Sleep_Score,mood,0.18101720715271835,0.13086108349346656,71,Yes,0.3992372038783726,False,False
p04,Sleep_Score,readiness,0.20687214096624476,0.08345648390249392,71,Yes,0.3255258708427239,False,False
p04,Sleep_Score,sleep_quality,0.35115656522316685,0.0026766163335416528,71,Yes,0.05474897045880653,True,False
p04,Sleep_Score,stress,0.2044204198492284,0.08726372349177812,71,Yes,0.3327853861974589,False,False
p05,Steps,fatigue,0.23894410544849273,0.06143511888554011,62,Yes,0.27463097015625426,False,False
p05,Steps,mood,0.022580274304517867,0.8617074473795809,62,Yes,0.9380343416544734,False,False
p05,Steps,readiness,0.3084603612667937,0.014720174795027602,62,Yes,0.12498261618419662,True,False
p05,Steps,sleep_quality,0.055984726415616776,0.6656017222241724,62,Yes,0.8770740117156005,False,False
p05,Steps,stress,-0.019099747060750138,0.8828602425730344,62,Yes,0.949312088788209,False,False
p05,Exercise_Count,fatigue,0.07273986692092956,0.5585662802096818,67,Yes,0.8149362980264565,False,False
p05,Exercise_Count,mood,-0.06817918257173966,0.5835498441600488,67,Yes,0.8271138780495642,False,False
p05,Exercise_Count,readiness,0.12885525358147387,0.2987038981483065,67,Yes,0.6194320468513268,False,False
