Participant,Target,Feature,Importance
p01,sleep_quality_next_day_change,Steps_z,0.0016693048099379129
p01,sleep_quality_next_day_change,Steps_abs_z,0.0108587694971605
p01,sleep_quality_next_day_change,Steps_7d_mean,0.01789557833954304
p01,sleep_quality_next_day_change,Steps_7d_std,0.003752983846440001
p01,sleep_quality_next_day_change,Steps_1d_change,0.006495358530948048
p01,sleep_quality_next_day_change,Exercise_Count,0.0006557147088729302
p01,sleep_quality_next_day_change,Exercise_Count_deviation,0.00017686805480012226
p01,sleep_quality_next_day_change,Exercise_Count_z,0.00046323404038906994
p01,sleep_quality_next_day_change,Exercise_Count_abs_z,0.0005324056658969912
p01,sleep_quality_next_day_change,Exercise_Count_7d_mean,0.0029334918219013416
p01,sleep_quality_next_day_change,Exercise_Count_7d_std,0.010887877004455879
p01,sleep_quality_next_day_change,Exercise_Count_1d_change,0.0079778606128938
p01,sleep_quality_next_day_change,Exercise_Duration,0.0011661050008685
p01,sleep_quality_next_day_change,Exercise_Duration_deviation,0.0009040337533589748
p01,sleep_quality_next_day_change,Exercise_Duration_z,0.001488302631849401
p01,sleep_quality_next_day_change,Exercise_Duration_abs_z,0.006895920558766468
p01,sleep_quality_next_day_change,Exercise_Duration_7d_mean,0.01004338548059605
p01,sleep_quality_next_day_change,Exercise_Duration_7d_std,0.00298093730320908
p01,sleep_quality_next_day_change,Exercise_Duration_1d_change,0.006940494595388591
p01,sleep_quality_next_day_change,Exercise_Distance,0.0012541786496062899
p01,sleep_quality_next_day_change,Exercise_Distance_deviation,0.00045737607605932687
p01,sleep_quality_next_day_change,Exercise_Distance_z,0.001181039169659048
p01,sleep_quality_next_day_change,Exercise_Distance_abs_z,0.0015265578243609367
p01,sleep_quality_next_day_change,Exercise_Distance_7d_mean,0.0027116422147237793
p01,sleep_quality_next_day_change,Exercise_Distance_7d_std,0.004900906233683736
p01,sleep_quality_next_day_change,Exercise_Distance_1d_change,0.001892790630955189
p01,sleep_quality_next_day_change,Exercise_Calories,0.0022939237111102564
p01,sleep_quality_next_day_change,Exercise_Calories_deviation,0.001966067200646986
p01,sleep_quality_next_day_change,Exercise_Calories_z,0.0013079028678752434
p01,sleep_quality_next_day_change,Exercise_Calories_abs_z,0.006660276667175003
p01,sleep_quality_next_day_change,Exercise_Calories_7d_mean,0.0141122773164645
p01,sleep_quality_next_day_change,Exercise_Calories_7d_std,0.010387615542744316
p01,sleep_quality_next_day_change,Exercise_Calories_1d_change,0.008977350043786024
p01,sleep_quality_next_day_change,Exercise_Avg_HR,0.005475172996640028
p01,sleep_quality_next_day_change,Exercise_Avg_HR_deviation,0.004171188502777836
p01,sleep_quality_next_day_change,Exercise_Avg_HR_z,0.0059054329824236
p01,sleep_quality_next_day_change,Exercise_Avg_HR_abs_z,0.016630433853230705
p01,sleep_quality_next_day_change,Exercise_Avg_HR_7d_mean,0.007559034499976763
p01,sleep_quality_next_day_change,Exercise_Avg_HR_7d_std,0.009213459972927912
p01,sleep_quality_next_day_change,Exercise_Avg_HR_1d_change,0.05810670531981621
p01,sleep_quality_next_day_change,Sleep_Hours,0.018746447647164734
p01,sleep_quality_next_day_change,Sleep_Hours_deviation,0.02749409179834741
p01,sleep_quality_next_day_change,Sleep_Hours_z,0.02345652478175105
