Participant,Behavior_Variable,Targets,Mean_Total_Importance,Mean_Relative_Importance,Max_Relative_Importance,Top3_Target_Count
p07,Sleep_Restlessness,5,0.09283401502915947,0.09283401502915989,0.1134590640585583,2
p07,Steps,5,0.09014889794268695,0.09014889794268734,0.11823692662678902,2
p07,Sleep_Score,5,0.0859707815258703,0.08597078152587068,0.1372261119528718,1
p07,Exercise_Duration,5,0.08204884275059834,0.08204884275059869,0.1379449244155449,1
p07,Sleep_Duration_Score,5,0.0816399342199853,0.08163993421998565,0.1643211332238606,2
p07,Sleep_Hours,5,0.08122343365696691,0.08122343365696724,0.11279118730061218,2
p07,Exercise_Calories,5,0.06855241915577034,0.06855241915577066,0.09311330361645588,0
p07,Sleep_Composition,5,0.0661117544248957,0.06611175442489599,0.08135178583777918,0
p07,Exercise_Distance,5,0.0598209798896487,0.05982097988964896,0.07660568059466823,0
p07,Sleep_Revitalization,5,0.04040809720127456,0.04040809720127474,0.04555951868875611,0
p07,Exercise_Count,5,0.038706217171612614,0.03870621717161279,0.08276849896104896,0
p08,Exercise_Distance,5,0.10258806707681019,0.10258806707681063,0.16168004318921625,2
p08,Steps,5,0.09042994869870954,0.09042994869870993,0.115288830444163,1
p08,Exercise_Calories,5,0.08382170852523928,0.08382170852523965,0.11361399803223632,2
p08,Sleep_Score,5,0.08241688385003507,0.08241688385003541,0.12646608647939098,1
p08,Sleep_Hours,5,0.08209490273471495,0.08209490273471533,0.12590598845136128,2
p08,Sleep_Revitalization,5,0.08012940195901977,0.0801294019590201,0.1317485911078122,2
p08,Deep_Sleep_Minutes,5,0.07978215063118353,0.07978215063118388,0.09421008622435996,1
p08,Sleep_Restlessness,5,0.07923127480788832,0.07923127480788866,0.10973955504017827,1
p08,Sleep_Duration_Score,5,0.07889614439378691,0.07889614439378724,0.1858120310651939,1
p08,Exercise_Avg_HR,5,0.07602638857539068,0.07602638857539101,0.09833873393310484,2
p08,Exercise_Duration,5,0.06808499143643351,0.06808499143643382,0.086517266724911,0
p08,Exercise_Count,5,0.05534803156734995,0.0553480315673502,0.08113255551880194,0
p08,Sleep_Composition,5,0.041150105743433904,0.04115010574343408,0.06868820314710677,0
p09,Sleep_Hours,5,0.1775607587678602,0.17756075876786095,0.23524318731157104,4
p09,Deep_Sleep_Minutes,5,0.1325521343532702,0.13255213435327073,0.15891552094185651,4
p09,Steps,5,0.12726842836915891,0.12726842836915941,0.21971324174060605,1
p09,Sleep_Duration_Score,5,0.12425693763983554,0.12425693763983606,0.1742146007436693,3
p09,Sleep_Revitalization,5,0.1118531479473243,0.11185314794732475,0.1425052433369531,2
p09,Sleep_Score,5,0.10425929594745946,0.10425929594745989,0.1286647692194879,1
p09,Sleep_Restlessness,5,0.09312173138871775,0.09312173138871813,0.10730418083097167,0
p09,Sleep_Composition,5,0.06169893477212156,0.061698934772121815,0.09034854713784957,0
p09,Exercise_Calories,5,0.02287994338385482,0.022879943383854913,0.02941365714905782,0
p09,Exercise_Duration,5,0.01587467593665206,0.01587467593665212,0.01802392618788467,0
p09,Exercise_Avg_HR,5,0.014210515543878205,0.01421051554387826,0.01905721785492358,0
p09,Exercise_Count,5,0.012666529120080311,0.012666529120080362,0.022334533868772388,0
p09,Exercise_Distance,5,0.0017969668297825908,0.0017969668297825984,0.0058477223423614244,0
p10,Sleep_Score,5,0.19718908445687608,0.1971890844568769,0.268042877063914,5
p10,Deep_Sleep_Minutes,5,0.10862057900121085,0.10862057900121129,0.17259300539903893,2
p10,Sleep_Hours,5,0.10555507624779467,0.10555507624779512,0.1182861256264176,3
p10,Sleep_Duration_Score,5,0.0961109184579007,0.0961109184579011,0.164389473312624,2
p10,Sleep_Restlessness,5,0.09558045848960768,0.09558045848960808,0.1302922229649437,2
p10,Steps,5,0.0876626051058801,0.08766260510588045,0.12576779173586927,1
