Participant,Wellbeing,Behavioral_Variable,Importance,Relative_Importance,Feature_Representations,Rank
p10_daily_merged,fatigue,Sleep_Score,0.1606487228414466,0.16064872284144724,7,2.0
p10_daily_merged,fatigue,Steps,0.1014135205909109,0.10141352059091131,7,3.0
p10_daily_merged,mood,Exercise_Calories,0.13577848021779848,0.13577848021779904,7,1.0
p10_daily_merged,mood,Steps,0.12643168184193498,0.1264316818419355,7,2.0
p10_daily_merged,mood,Sleep_Restlessness,0.1255941226002302,0.1255941226002307,7,3.0
p10_daily_merged,readiness,Sleep_Score,0.1606712601750545,0.16067126017505517,7,1.0
p10_daily_merged,readiness,Sleep_Hours,0.1133824479152486,0.11338244791524907,7,2.0
p10_daily_merged,readiness,Steps,0.0990209988350205,0.09902099883502091,7,3.0
p10_daily_merged,sleep_quality,Sleep_Score,0.1500658710112517,0.15006587101125235,7,1.0
p10_daily_merged,sleep_quality,Sleep_Duration_Score,0.1429416430588023,0.14294164305880291,7,2.0
p10_daily_merged,sleep_quality,Sleep_Restlessness,0.1241736243997362,0.12417362439973674,7,3.0
p10_daily_merged,stress,Steps,0.1619511788433958,0.16195117884339655,7,1.0
p10_daily_merged,stress,Sleep_Score,0.1445143877830081,0.14451438778300876,7,2.0
p10_daily_merged,stress,Sleep_Restlessness,0.115879296395833,0.11587929639583353,7,3.0
p11_daily_merged,fatigue,Steps,0.3821769637961674,0.3821769637961689,7,1.0
p11_daily_merged,fatigue,Sleep_Restlessness,0.09248858816599019,0.09248858816599055,7,2.0
p11_daily_merged,fatigue,Sleep_Score,0.070593004806256,0.07059300480625627,7,3.0
p11_daily_merged,mood,Steps,0.3764832777355956,0.37648327773559687,7,1.0
p11_daily_merged,mood,Exercise_Distance,0.2685297054211373,0.2685297054211382,7,2.0
p11_daily_merged,mood,Sleep_Composition,0.1328348888721391,0.13283488887213954,7,3.0
p11_daily_merged,readiness,Steps,0.1979533630915378,0.19795336309153871,7,1.0
p11_daily_merged,readiness,Exercise_Calories,0.1117566615235356,0.11175666152353611,7,2.0
p11_daily_merged,readiness,Sleep_Score,0.10619839609594449,0.10619839609594499,7,3.0
p11_daily_merged,sleep_quality,Sleep_Score,0.18703310812870722,0.18703310812870794,7,1.0
p11_daily_merged,sleep_quality,Sleep_Hours,0.1170745699540043,0.11707456995400475,7,2.0
p11_daily_merged,sleep_quality,Deep_Sleep_Minutes,0.1033793988776947,0.1033793988776951,7,3.0
p11_daily_merged,stress,Sleep_Restlessness,0.222017204871615,0.2220172048716158,7,1.0
p11_daily_merged,stress,Steps,0.2178799271035083,0.21787992710350906,7,2.0
p11_daily_merged,stress,Deep_Sleep_Minutes,0.1502707227165201,0.15027072271652064,7,3.0
p12_daily_merged,fatigue,Steps,0.3989881532866019,0.39898815328660264,7,1.0
p12_daily_merged,fatigue,Exercise_Avg_HR,0.25118501092254547,0.25118501092254597,7,2.0
p12_daily_merged,fatigue,Exercise_Duration,0.1692220138107494,0.16922201381074972,7,3.0
p12_daily_merged,mood,Exercise_Avg_HR,0.3915978399309114,0.3915978399309121,7,1.0
p12_daily_merged,mood,Steps,0.2752472136384641,0.2752472136384646,7,2.0
p12_daily_merged,mood,Exercise_Calories,0.14835811953720499,0.14835811953720526,7,3.0
p12_daily_merged,readiness,Steps,0.6053436055631035,0.6053436055631045,7,1.0
p12_daily_merged,readiness,Exercise_Calories,0.09990071567274461,0.09990071567274478,7,2.0
p12_daily_merged,readiness,Exercise_Duration,0.09053502570956459,0.09053502570956475,7,3.0
p12_daily_merged,sleep_quality,Steps,0.571847830860327,0.5718478308603279,7,1.0
p12_daily_merged,sleep_quality,Exercise_Calories,0.1661004991776912,0.16610049917769149,7,2.0
p12_daily_merged,sleep_quality,Exercise_Duration,0.1326438712327516,0.13264387123275181,7,3.0
p12_daily_merged,stress,Steps,0.2655010529397025,0.265501052939703,7,1.0
p12_daily_merged,stress,Exercise_Calories,0.2292805100606398,0.2292805100606402,7,2.0
p12_daily_merged,stress,Exercise_Duration,0.2013700225758911,0.20137002257589146,7,3.0
p13_daily_merged,fatigue,Steps,0.2333526195272562,0.2333526195272571,7,1.0
p13_daily_merged,fatigue,Exercise_Calories,0.1464661746460009,0.14646617464600145,7,2.0
p13_daily_merged,fatigue,Sleep_Hours,0.1224047092069259,0.12240470920692637,7,3.0
p13_daily_merged,mood,Steps,0.2979921422553132,0.2979921422553143,7,1.0
p13_daily_merged,mood,Exercise_Calories,0.2002107459218022,0.20021074592180294,7,2.0
p13_daily_merged,mood,Exercise_Duration,0.07916138481891119,0.07916138481891148,7,3.0
p13_daily_merged,readiness,Sleep_Restlessness,0.2233349635042706,0.22333496350427148,7,1.0
p13_daily_merged,readiness,Deep_Sleep_Minutes,0.1418479411162232,0.14184794111622376,7,2.0
p13_daily_merged,readiness,Exercise_Calories,0.1180999992980017,0.11809999929800218,7,3.0
p13_daily_merged,sleep_quality,Steps,0.2776855390571004,0.27768553905710136,7,1.0
p13_daily_merged,sleep_quality,Exercise_Calories,0.1501862114831632,0.15018621148316372,7,2.0
p13_daily_merged,sleep_quality,Sleep_Hours,0.1399654344037155,0.13996543440371598,7,3.0
p13_daily_merged,stress,Steps,0.3460510120421799,0.34605101204218114,7,1.0
p13_daily_merged,stress,Exercise_Duration,0.1603509591048893,0.16035095910488986,7,2.0
p13_daily_merged,stress,Exercise_Calories,0.1552880270477781,0.15528802704777864,7,3.0
p14_daily_merged,fatigue,Sleep_Restlessness,0.1461270088357456,0.1461270088357462,7,1.0
p14_daily_merged,fatigue,Sleep_Score,0.1100043166026387,0.11000431660263917,7,2.0
p14_daily_merged,fatigue,Sleep_Duration_Score,0.1056876022152888,0.10568760221528925,7,3.0
p14_daily_merged,mood,Sleep_Restlessness,0.20981688132233092,0.20981688132233173,7,1.0
p14_daily_merged,mood,Exercise_Calories,0.1539156771133267,0.15391567711332732,7,2.0
p14_daily_merged,mood,Exercise_Duration,0.116634672709836,0.11663467270983646,7,3.0
p14_daily_merged,readiness,Steps,0.1384861057843497,0.13848610578435036,7,1.0
p14_daily_merged,readiness,Exercise_Distance,0.1164769122643726,0.11647691226437318,7,2.0
p14_daily_merged,readiness,Exercise_Calories,0.1062475775689373,0.10624757756893781,7,3.0
p14_daily_merged,sleep_quality,Exercise_Duration,0.1343334712429352,0.13433347124293582,7,1.0
p14_daily_merged,sleep_quality,Sleep_Score,0.1155284934046816,0.11552849340468213,7,2.0
p14_daily_merged,sleep_quality,Exercise_Avg_HR,0.1150148917461771,0.11501489174617764,7,3.0
p14_daily_merged,stress,Steps,0.1779285208683801,0.17792852086838082,7,1.0
p14_daily_merged,stress,Sleep_Score,0.1301404274394567,0.13014042743945722,7,2.0
p14_daily_merged,stress,Exercise_Distance,0.1007186459573928,0.10071864595739322,7,3.0
p15_daily_merged,fatigue,Sleep_Hours,0.1478762786951948,0.1478762786951954,7,1.0
p15_daily_merged,fatigue,Exercise_Duration,0.1414224418692705,0.14142244186927108,7,2.0
p15_daily_merged,fatigue,Exercise_Calories,0.1122836500756075,0.11228365007560796,7,3.0
p15_daily_merged,mood,Exercise_Duration,0.1348470721927345,0.1348470721927351,7,1.0
p15_daily_merged,mood,Exercise_Calories,0.1246854045386049,0.12468540453860544,7,2.0
p15_daily_merged,mood,Steps,0.122540695083444,0.12254069508344453,7,3.0
p15_daily_merged,readiness,Sleep_Revitalization,0.2049996074437651,0.20499960744376605,7,1.0
p15_daily_merged,readiness,Steps,0.20278048567877188,0.20278048567877285,7,2.0
p15_daily_merged,readiness,Exercise_Duration,0.104793473886461,0.10479347388646149,7,3.0
p15_daily_merged,sleep_quality,Deep_Sleep_Minutes,0.2154000455801566,0.21540004558015766,7,1.0
p15_daily_merged,sleep_quality,Sleep_Restlessness,0.0951750912763122,0.09517509127631266,7,2.0
p15_daily_merged,sleep_quality,Exercise_Avg_HR,0.08602309090557729,0.08602309090557772,7,3.0
p15_daily_merged,stress,Deep_Sleep_Minutes,0.131686448201647,0.13168644820164763,7,1.0
p15_daily_merged,stress,Exercise_Avg_HR,0.1261103718031663,0.12611037180316692,7,2.0
p15_daily_merged,stress,Sleep_Hours,0.1011050983663005,0.10110509836630098,7,3.0
p16_daily_merged,fatigue,Sleep_Hours,0.2427281463995471,0.24272814639954796,7,1.0
p16_daily_merged,fatigue,Deep_Sleep_Minutes,0.2393533693248786,0.23935336932487944,7,2.0
p16_daily_merged,fatigue,Steps,0.1671192011458797,0.16711920114588028,7,3.0
p16_daily_merged,mood,Deep_Sleep_Minutes,0.29449818222191243,0.2944981822219132,7,1.0
p16_daily_merged,mood,Sleep_Hours,0.1680024944089966,0.16800249440899706,7,2.0
p16_daily_merged,mood,Sleep_Restlessness,0.1233508827810409,0.12335088278104123,7,3.0
p16_daily_merged,readiness,Sleep_Restlessness,0.2495585372602684,0.2495585372602694,7,1.0
p16_daily_merged,readiness,Steps,0.1491433780591132,0.1491433780591138,7,2.0
p16_daily_merged,readiness,Deep_Sleep_Minutes,0.1413250424132679,0.14132504241326846,7,3.0
p16_daily_merged,sleep_quality,Steps,0.1819336953607199,0.18193369536072043,7,1.0
p16_daily_merged,sleep_quality,Sleep_Revitalization,0.154984819069134,0.15498481906913444,7,2.0
p16_daily_merged,sleep_quality,Sleep_Hours,0.1357668259480792,0.1357668259480796,7,3.0
p16_daily_merged,stress,Sleep_Hours,0.1924575298470496,0.19245752984705025,7,1.0
p16_daily_merged,stress,Deep_Sleep_Minutes,0.1828427829987556,0.1828427829987562,7,2.0
p16_daily_merged,stress,Sleep_Restlessness,0.15924153164390598,0.1592415316439065,7,3.0
