Participant,Variable,Status,First_10_Days_All_Missing,Total_Missing,Total_Rows,Missing_Percent
p10_daily_merged,Exercise_Duration,Available,False,0.0,95,0.0
p10_daily_merged,Exercise_Distance,Available,False,0.0,95,0.0
p10_daily_merged,Exercise_Calories,Available,False,0.0,95,0.0
p10_daily_merged,Exercise_Avg_HR,Available,False,29.0,95,30.526315789473685
p10_daily_merged,Sleep_Hours,Available_Sleep_Exempt,False,15.0,95,15.789473684210526
p10_daily_merged,Sleep_Duration_Score,Available_Sleep_Exempt,False,15.0,95,15.789473684210526
p10_daily_merged,Deep_Sleep_Minutes,Available_Sleep_Exempt,False,15.0,95,15.789473684210526
p10_daily_merged,Sleep_Restlessness,Available_Sleep_Exempt,False,15.0,95,15.789473684210526
p10_daily_merged,Sleep_Composition,Available_Sleep_Exempt,False,15.0,95,15.789473684210526
p10_daily_merged,Sleep_Revitalization,Available_Sleep_Exempt,False,15.0,95,15.789473684210526
p10_daily_merged,Sleep_Score,Available_Sleep_Exempt,False,15.0,95,15.789473684210526
p11_daily_merged,Steps,Available,False,0.0,107,0.0
p11_daily_merged,Exercise_Count,Available,False,0.0,107,0.0
p11_daily_merged,Exercise_Duration,Available,False,0.0,107,0.0
p11_daily_merged,Exercise_Distance,Available,False,0.0,107,0.0
p11_daily_merged,Exercise_Calories,Available,False,0.0,107,0.0
p11_daily_merged,Exercise_Avg_HR,Available,False,52.0,107,48.598130841121495
p11_daily_merged,Sleep_Hours,Available_Sleep_Exempt,False,0.0,107,0.0
p11_daily_merged,Sleep_Duration_Score,Available_Sleep_Exempt,False,0.0,107,0.0
p11_daily_merged,Deep_Sleep_Minutes,Available_Sleep_Exempt,False,0.0,107,0.0
p11_daily_merged,Sleep_Restlessness,Available_Sleep_Exempt,False,0.0,107,0.0
p11_daily_merged,Sleep_Composition,Available_Sleep_Exempt,False,0.0,107,0.0
p11_daily_merged,Sleep_Revitalization,Available_Sleep_Exempt,False,0.0,107,0.0
p11_daily_merged,Sleep_Score,Available_Sleep_Exempt,False,0.0,107,0.0
p12_daily_merged,Steps,Available,False,8.0,83,9.63855421686747
p12_daily_merged,Exercise_Count,Available,False,0.0,83,0.0
p12_daily_merged,Exercise_Duration,Available,False,0.0,83,0.0
p12_daily_merged,Exercise_Distance,Available,False,0.0,83,0.0
p12_daily_merged,Exercise_Calories,Available,False,0.0,83,0.0
p12_daily_merged,Exercise_Avg_HR,Available,False,43.0,83,51.80722891566265
p12_daily_merged,Sleep_Hours,Available_Sleep_Exempt,False,79.0,83,95.18072289156626
p12_daily_merged,Sleep_Duration_Score,Available_Sleep_Exempt,False,82.0,83,98.79518072289156
p12_daily_merged,Deep_Sleep_Minutes,Available_Sleep_Exempt,False,79.0,83,95.18072289156626
p12_daily_merged,Sleep_Restlessness,Available_Sleep_Exempt,False,82.0,83,98.79518072289156
p12_daily_merged,Sleep_Composition,Available_Sleep_Exempt,False,82.0,83,98.79518072289156
p12_daily_merged,Sleep_Revitalization,Available_Sleep_Exempt,False,82.0,83,98.79518072289156
