Participant,Wellbeing,Target,N_Observations,N_Test_Predictions,MAE,RMSE,R2,N_Features
p14_daily_merged,fatigue,NextDayChange_fatigue,114,84,0.4942669595616023,0.7013635418799976,-0.08874615149008158,91
p14_daily_merged,mood,NextDayChange_mood,114,84,0.21959942537621108,0.33208752787768225,-0.5439497664067454,91
p14_daily_merged,readiness,NextDayChange_readiness,114,84,0.6169800837390124,0.7986384909624338,0.10633792944299214,91
p14_daily_merged,sleep_quality,NextDayChange_sleep_quality,114,84,0.6061169016169017,0.843830634114734,-0.08773019728973064,91
p14_daily_merged,stress,NextDayChange_stress,114,84,0.3120583474065617,0.5258079526750881,-0.16119081300474392,91
p15_daily_merged,fatigue,NextDayChange_fatigue,71,51,0.9235909711203827,1.202941306023438,-0.1918376538007951,91
p15_daily_merged,mood,NextDayChange_mood,71,51,0.837058340352458,1.005635926778482,-0.07451009330434277,91
p15_daily_merged,readiness,NextDayChange_readiness,71,51,1.9031069529598943,2.301238355865322,0.10812545834722842,91
p15_daily_merged,sleep_quality,NextDayChange_sleep_quality,71,51,1.048408114761056,1.3393152292767463,-0.03956851650004323,91
p15_daily_merged,stress,NextDayChange_stress,71,51,0.688657053186465,0.9062975738482383,-0.20292631499813685,91
p16_daily_merged,fatigue,NextDayChange_fatigue,62,45,0.5163912698412698,0.7430273109282123,0.19800472798418134,91
p16_daily_merged,mood,NextDayChange_mood,62,45,0.5809539201539201,0.7758876762339542,-0.010823726713717896,91
p16_daily_merged,readiness,NextDayChange_readiness,62,45,0.729534969351636,0.9027339294595368,0.008275055000091402,91
p16_daily_merged,sleep_quality,NextDayChange_sleep_quality,62,45,0.791095975629309,0.9616032529274535,-0.049595657221040534,91
p16_daily_merged,stress,NextDayChange_stress,62,45,0.7665518444518445,0.9618480904844807,-0.04079571781472202,91
