Participant,Wellbeing,Behavioral_Variable,Importance,Relative_Importance,Feature_Representations,Rank
p02_daily_merged,sleep_quality,Steps,0.0363454078376085,0.03634540783760859,7,8.0
p02_daily_merged,stress,Deep_Sleep_Minutes,0.0867875900901703,0.08678759009017047,7,4.0
p02_daily_merged,stress,Exercise_Avg_HR,0.1204523304689299,0.12045233046893014,7,2.0
p02_daily_merged,stress,Exercise_Calories,0.0216081616270829,0.021608161627082945,7,10.0
p02_daily_merged,stress,Exercise_Count,0.0,0.0,7,12.0
p02_daily_merged,stress,Exercise_Distance,0.0304853264136629,0.03048532641366296,7,9.0
p02_daily_merged,stress,Exercise_Duration,0.019012292285376903,0.019012292285376937,7,11.0
p02_daily_merged,stress,Sleep_Composition,0.0485517132051876,0.048551713205187697,7,6.0
p02_daily_merged,stress,Sleep_Duration_Score,0.0,0.0,7,13.0
p02_daily_merged,stress,Sleep_Hours,0.0379566315722941,0.037956631572294175,7,8.0
p02_daily_merged,stress,Sleep_Restlessness,0.10108341925387881,0.10108341925387901,7,3.0
p02_daily_merged,stress,Sleep_Revitalization,0.06882810056652129,0.06882810056652144,7,5.0
p02_daily_merged,stress,Sleep_Score,0.41762022443814295,0.41762022443814373,7,1.0
p02_daily_merged,stress,Steps,0.0476142100787504,0.047614210078750496,7,7.0
p03_daily_merged,fatigue,Deep_Sleep_Minutes,0.0140894976799016,0.014089497679901638,7,11.0
p03_daily_merged,fatigue,Exercise_Avg_HR,0.08712464924904631,0.08712464924904653,7,5.0
p03_daily_merged,fatigue,Exercise_Calories,0.18187973661350168,0.18187973661350218,7,3.0
p03_daily_merged,fatigue,Exercise_Count,0.019285484716085398,0.01928548471608545,7,10.0
p03_daily_merged,fatigue,Exercise_Distance,0.0,0.0,7,13.0
p03_daily_merged,fatigue,Exercise_Duration,0.1984331893270489,0.19843318932704943,7,2.0
p03_daily_merged,fatigue,Sleep_Composition,0.091182676930054,0.09118267693005425,7,4.0
p03_daily_merged,fatigue,Sleep_Duration_Score,0.0231719098960704,0.023171909896070462,7,9.0
p03_daily_merged,fatigue,Sleep_Hours,0.0368088599028098,0.036808859902809896,7,7.0
p03_daily_merged,fatigue,Sleep_Restlessness,0.0596740448550131,0.05967404485501326,7,6.0
p03_daily_merged,fatigue,Sleep_Revitalization,0.0082575830056131,0.008257583005613122,7,12.0
p03_daily_merged,fatigue,Sleep_Score,0.0235733657495329,0.023573365749532962,7,8.0
p03_daily_merged,fatigue,Steps,0.2565190020753202,0.25651900207532086,7,1.0
p03_daily_merged,mood,Deep_Sleep_Minutes,0.0,0.0,7,10.0
p03_daily_merged,mood,Exercise_Avg_HR,0.0434782608695652,0.043478260869565244,7,8.0
p03_daily_merged,mood,Exercise_Calories,0.0335043152581012,0.033504315258101235,7,9.0
p03_daily_merged,mood,Exercise_Count,0.0,0.0,7,11.0
p03_daily_merged,mood,Exercise_Distance,0.0,0.0,7,12.0
p03_daily_merged,mood,Exercise_Duration,0.0,0.0,7,13.0
p03_daily_merged,mood,Sleep_Composition,0.054175293305728,0.05417529330572805,7,7.0
p03_daily_merged,mood,Sleep_Duration_Score,0.3480137967589362,0.34801379675893657,7,1.0
p03_daily_merged,mood,Sleep_Hours,0.0622394095352735,0.06223940953527357,7,5.0
p03_daily_merged,mood,Sleep_Restlessness,0.0875985332183365,0.08759853321833659,7,4.0
p03_daily_merged,mood,Sleep_Revitalization,0.0580269710704492,0.058026971070449254,7,6.0
p03_daily_merged,mood,Sleep_Score,0.21551261406333871,0.2155126140633389,7,2.0
p03_daily_merged,mood,Steps,0.0974508059202705,0.0974508059202706,7,3.0
p03_daily_merged,readiness,Deep_Sleep_Minutes,0.0016806722689075,0.0016806722689075011,7,8.0
p03_daily_merged,readiness,Exercise_Avg_HR,0.0,0.0,7,9.0
p03_daily_merged,readiness,Exercise_Calories,0.0663136921694913,0.06631369216949135,7,2.0
p03_daily_merged,readiness,Exercise_Count,0.0450580392648399,0.045058039264839936,7,3.0
p03_daily_merged,readiness,Exercise_Distance,0.0,0.0,7,10.0
p03_daily_merged,readiness,Exercise_Duration,0.0424163743483984,0.04241637434839843,7,4.0
p03_daily_merged,readiness,Sleep_Composition,0.0,0.0,7,11.0
p03_daily_merged,readiness,Sleep_Duration_Score,0.0017685505574778,0.0017685505574778011,7,7.0
p03_daily_merged,readiness,Sleep_Hours,0.0022946639956292,0.0022946639956292017,7,5.0
p03_daily_merged,readiness,Sleep_Restlessness,0.0,0.0,7,12.0
p03_daily_merged,readiness,Sleep_Revitalization,0.0020418084589207,0.0020418084589207013,7,6.0
p03_daily_merged,readiness,Sleep_Score,0.0,0.0,7,13.0
p03_daily_merged,readiness,Steps,0.8384261989363345,0.8384261989363351,7,1.0
p03_daily_merged,sleep_quality,Deep_Sleep_Minutes,0.2541663589932942,0.25416635899329476,7,1.0
