Participant,Behavioral_Variable,Wellbeing_Variable,r,p,N,Time_Lag,p_FDR,Significant_raw,Significant_FDR,Analysis
p03,Exercise_Calories,fatigue,-0.4111697307285907,0.0803109182017513,19,t_to_t+1,0.7555616837580037,False,False,lagged
p03,Exercise_Calories,mood,0.0986308461928509,0.6878924085076671,19,t_to_t+1,0.9740705284594343,False,False,lagged
p03,Exercise_Calories,readiness,,,19,t_to_t+1,,False,False,lagged
p03,Exercise_Calories,sleep_quality,,,19,t_to_t+1,,False,False,lagged
p03,Exercise_Calories,stress,-0.0974808701405776,0.6913597814195911,19,t_to_t+1,0.9740705284594343,False,False,lagged
p03,Exercise_Avg_HR,fatigue,-0.2170155786607856,0.4980844065949567,12,t_to_t+1,0.9580452904411608,False,False,lagged
p03,Exercise_Avg_HR,mood,-0.2048366225996755,0.523066896890598,12,t_to_t+1,0.9580452904411608,False,False,lagged
p03,Exercise_Avg_HR,readiness,,,12,t_to_t+1,,False,False,lagged
p03,Exercise_Avg_HR,sleep_quality,,,12,t_to_t+1,,False,False,lagged
p03,Exercise_Avg_HR,stress,0.4389356198564478,0.1534267201520858,12,t_to_t+1,0.7895436187205949,False,False,lagged
p03,Sleep_Hours,fatigue,0.1950806285137588,0.5039173000978805,14,t_to_t+1,0.9580452904411608,False,False,lagged
p03,Sleep_Hours,mood,0.2163280565015275,0.4575875931124273,14,t_to_t+1,0.9425275172830845,False,False,lagged
p03,Sleep_Hours,readiness,,,14,t_to_t+1,,False,False,lagged
p03,Sleep_Hours,sleep_quality,,,14,t_to_t+1,,False,False,lagged
p03,Sleep_Hours,stress,,,14,t_to_t+1,,False,False,lagged
p03,Sleep_Duration_Score,fatigue,0.3376353469658638,0.2377596949044006,14,t_to_t+1,0.8529238693978868,False,False,lagged
p03,Sleep_Duration_Score,mood,0.5089594574266283,0.0630697007730813,14,t_to_t+1,0.7012730348760812,False,False,lagged
p03,Sleep_Duration_Score,readiness,,,14,t_to_t+1,,False,False,lagged
p03,Sleep_Duration_Score,sleep_quality,,,14,t_to_t+1,,False,False,lagged
p03,Sleep_Duration_Score,stress,,,14,t_to_t+1,,False,False,lagged
p03,Deep_Sleep_Minutes,fatigue,0.3941829535391302,0.1631265723248401,14,t_to_t+1,0.7895436187205949,False,False,lagged
p03,Deep_Sleep_Minutes,mood,-0.2161641277894541,0.4579368573980644,14,t_to_t+1,0.9425275172830845,False,False,lagged
p03,Deep_Sleep_Minutes,readiness,,,14,t_to_t+1,,False,False,lagged
p03,Deep_Sleep_Minutes,sleep_quality,,,14,t_to_t+1,,False,False,lagged
p03,Deep_Sleep_Minutes,stress,,,14,t_to_t+1,,False,False,lagged
p03,Sleep_Restlessness,fatigue,0.2664193553971737,0.3572036480426243,14,t_to_t+1,0.920412433332209,False,False,lagged
p03,Sleep_Restlessness,mood,-0.0445608028285357,0.8797707739876399,14,t_to_t+1,0.9835127913656734,False,False,lagged
p03,Sleep_Restlessness,readiness,,,14,t_to_t+1,,False,False,lagged
p03,Sleep_Restlessness,sleep_quality,,,14,t_to_t+1,,False,False,lagged
p03,Sleep_Restlessness,stress,,,14,t_to_t+1,,False,False,lagged
p03,Sleep_Composition,fatigue,-0.0346271680532222,0.906450228474026,14,t_to_t+1,0.9835127913656734,False,False,lagged
p03,Sleep_Composition,mood,0.271498660374615,0.3477577711377926,14,t_to_t+1,0.917607070132456,False,False,lagged
p03,Sleep_Composition,readiness,,,14,t_to_t+1,,False,False,lagged
p03,Sleep_Composition,sleep_quality,,,14,t_to_t+1,,False,False,lagged
p03,Sleep_Composition,stress,,,14,t_to_t+1,,False,False,lagged
p03,Sleep_Revitalization,fatigue,0.1005919924977862,0.7322312931453658,14,t_to_t+1,0.9776147646145136,False,False,lagged
p03,Sleep_Revitalization,mood,-0.2265731926898632,0.4360196040369758,14,t_to_t+1,0.9425275172830845,False,False,lagged
p03,Sleep_Revitalization,readiness,,,14,t_to_t+1,,False,False,lagged
p03,Sleep_Revitalization,sleep_quality,,,14,t_to_t+1,,False,False,lagged
p03,Sleep_Revitalization,stress,,,14,t_to_t+1,,False,False,lagged
p03,Sleep_Score,fatigue,0.2125255710211127,0.4657224355100924,14,t_to_t+1,0.9446256946666968,False,False,lagged
p03,Sleep_Score,mood,0.1999600119960014,0.4930920018132282,14,t_to_t+1,0.9580452904411608,False,False,lagged
p03,Sleep_Score,readiness,,,14,t_to_t+1,,False,False,lagged
p03,Sleep_Score,sleep_quality,,,14,t_to_t+1,,False,False,lagged
p03,Sleep_Score,stress,,,14,t_to_t+1,,False,False,lagged
p04,Steps,fatigue,-0.2867488810161402,0.0195799612308237,66,t_to_t+1,0.5806471261554614,True,False,lagged
p04,Steps,mood,0.0729488913476578,0.5605042775014413,66,t_to_t+1,0.9580452904411608,False,False,lagged
p04,Steps,readiness,-0.1552847614792365,0.2131303547176071,66,t_to_t+1,0.8525214188704284,False,False,lagged
p04,Steps,sleep_quality,-0.1738494822827965,0.1627052715952474,66,t_to_t+1,0.7895436187205949,False,False,lagged
p04,Steps,stress,-0.0175853189952098,0.8885454622117299,66,t_to_t+1,0.9835127913656734,False,False,lagged
p04,Exercise_Count,fatigue,-0.1570983718144523,0.2077679084494141,66,t_to_t+1,0.8468265462867115,False,False,lagged
p04,Exercise_Count,mood,0.1424199985344634,0.2539760480256408,66,t_to_t+1,0.8603773254450495,False,False,lagged
p04,Exercise_Count,readiness,-0.1969439329657797,0.112971731777037,66,t_to_t+1,0.7702639636506637,False,False,lagged
p04,Exercise_Count,sleep_quality,-0.0155153046238014,0.9015955687404082,66,t_to_t+1,0.9835127913656734,False,False,lagged
p04,Exercise_Count,stress,0.1114570344089066,0.3729501245182602,66,t_to_t+1,0.9283376245709605,False,False,lagged
p04,Exercise_Duration,fatigue,-0.1560753023350365,0.21078102974963,66,t_to_t+1,0.8513360248470185,False,False,lagged
p04,Exercise_Duration,mood,0.1458694313815512,0.2425365955480833,66,t_to_t+1,0.8529238693978868,False,False,lagged
p04,Exercise_Duration,readiness,-0.1738426194707651,0.1627221243801247,66,t_to_t+1,0.7895436187205949,False,False,lagged
p04,Exercise_Duration,sleep_quality,-0.1124820275107087,0.3685425699514599,66,t_to_t+1,0.9283376245709605,False,False,lagged
p04,Exercise_Duration,stress,0.0081113339351585,0.9484616219161228,66,t_to_t+1,0.9944766242918682,False,False,lagged
p04,Exercise_Distance,fatigue,-0.1907558231275251,0.1249746414953973,66,t_to_t+1,0.7788274759858094,False,False,lagged
p04,Exercise_Distance,mood,0.0954116296248903,0.4460250329250155,66,t_to_t+1,0.9425275172830845,False,False,lagged
p04,Exercise_Distance,readiness,-0.1816441042309512,0.1443830226470085,66,t_to_t+1,0.7895436187205949,False,False,lagged
p04,Exercise_Distance,sleep_quality,-0.1682397748945195,0.1769136901723759,66,t_to_t+1,0.7922650645572069,False,False,lagged
p04,Exercise_Distance,stress,0.0079668774305922,0.9493782657483998,66,t_to_t+1,0.9944766242918682,False,False,lagged
p04,Exercise_Calories,fatigue,-0.263240530545252,0.032717220917224,66,t_to_t+1,0.6266521389463884,True,False,lagged
p04,Exercise_Calories,mood,0.0497369367485258,0.6916697718111627,66,t_to_t+1,0.9740705284594343,False,False,lagged
p04,Exercise_Calories,readiness,-0.2691905457935507,0.0288413862892266,66,t_to_t+1,0.6125005054959453,True,False,lagged
p04,Exercise_Calories,sleep_quality,-0.1675684869351229,0.1786725866282056,66,t_to_t+1,0.7922650645572069,False,False,lagged
p04,Exercise_Calories,stress,-0.0659509425761701,0.5988018778816913,66,t_to_t+1,0.9580452904411608,False,False,lagged
p04,Exercise_Avg_HR,fatigue,-0.0951212083832709,0.4938530257649818,54,t_to_t+1,0.9580452904411608,False,False,lagged
p04,Exercise_Avg_HR,mood,-0.0396349879599629,0.7759864440342557,54,t_to_t+1,0.9835127913656734,False,False,lagged
p04,Exercise_Avg_HR,readiness,-0.1938440207296042,0.1601735722544136,54,t_to_t+1,0.7895436187205949,False,False,lagged
p04,Exercise_Avg_HR,sleep_quality,-0.2307530931020595,0.0932017566723743,54,t_to_t+1,0.7555616837580037,False,False,lagged
p04,Exercise_Avg_HR,stress,-0.0836812256348833,0.5474424533336735,54,t_to_t+1,0.9580452904411608,False,False,lagged
p04,Sleep_Hours,fatigue,0.1281702987964258,0.305078748159936,66,t_to_t+1,0.8981643811876255,False,False,lagged
p04,Sleep_Hours,mood,0.1352770605720544,0.278814921867574,66,t_to_t+1,0.8903406261033548,False,False,lagged
p04,Sleep_Hours,readiness,0.0212758041145781,0.8653545274735938,66,t_to_t+1,0.9835127913656734,False,False,lagged
p04,Sleep_Hours,sleep_quality,0.0195055407748871,0.8764659392761878,66,t_to_t+1,0.9835127913656734,False,False,lagged
p04,Sleep_Hours,stress,0.1202409399080012,0.3362140100313316,66,t_to_t+1,0.917607070132456,False,False,lagged
p04,Sleep_Duration_Score,fatigue,0.0067246876788059,0.9576006202784064,65,t_to_t+1,0.9968734616817866,False,False,lagged
p04,Sleep_Duration_Score,mood,0.0017531912542511,0.9889413339827104,65,t_to_t+1,0.9989313140462192,False,False,lagged
p04,Sleep_Duration_Score,readiness,0.025040497831773,0.8430475920307965,65,t_to_t+1,0.9835127913656734,False,False,lagged
p04,Sleep_Duration_Score,sleep_quality,0.1814459708112095,0.1480321124287746,65,t_to_t+1,0.7895436187205949,False,False,lagged
p04,Sleep_Duration_Score,stress,0.0456281057125146,0.718162366690179,65,t_to_t+1,0.9754287609879244,False,False,lagged
p04,Deep_Sleep_Minutes,fatigue,0.1194280894826788,0.3395147238551789,66,t_to_t+1,0.917607070132456,False,False,lagged
p04,Deep_Sleep_Minutes,mood,0.0838809185276822,0.5031044519095811,66,t_to_t+1,0.9580452904411608,False,False,lagged
p04,Deep_Sleep_Minutes,readiness,0.0364627480347302,0.7713101678076606,66,t_to_t+1,0.9835127913656734,False,False,lagged
p04,Deep_Sleep_Minutes,sleep_quality,0.0937044223260281,0.4542417855338511,66,t_to_t+1,0.9425275172830845,False,False,lagged
p04,Deep_Sleep_Minutes,stress,0.0637338288461917,0.6111725118915481,66,t_to_t+1,0.9580452904411608,False,False,lagged
