Participant,Behavioral_Variable,Wellbeing_Variable,r,p,N,Included,p_FDR,Significant_raw,Significant_FDR,Analysis,Objective_Variable,Wellness_Variable,Time_Lag,Sensitivity_Threshold
p03,Exercise_Count,sleep_quality,,,39,Yes,,False,False,same_day,,,,
p03,Exercise_Count,stress,0.0905427610002655,0.5835747917349703,39,Yes,0.8271138780495642,False,False,same_day,,,,
p03,Exercise_Duration,fatigue,-0.4155821165032197,0.0085118929024119,39,Yes,0.09805752877202202,True,False,same_day,,,,
p03,Exercise_Duration,mood,-0.1999867683268719,0.2222148017242795,39,Yes,0.52507362889881,False,False,same_day,,,,
p03,Exercise_Duration,readiness,,,39,Yes,,False,False,same_day,,,,
p03,Exercise_Duration,sleep_quality,,,39,Yes,,False,False,same_day,,,,
p03,Exercise_Duration,stress,0.0860460590066098,0.6024768538416894,39,Yes,0.8331378632603537,False,False,same_day,,,,
p03,Exercise_Distance,fatigue,,,39,Yes,,False,False,same_day,,,,
p03,Exercise_Distance,mood,,,39,Yes,,False,False,same_day,,,,
p03,Exercise_Distance,readiness,,,39,Yes,,False,False,same_day,,,,
p03,Exercise_Distance,sleep_quality,,,39,Yes,,False,False,same_day,,,,
p03,Exercise_Distance,stress,,,39,Yes,,False,False,same_day,,,,
p03,Exercise_Calories,fatigue,-0.4064944418950476,0.0102312711564265,39,Yes,0.10525522535545499,True,False,same_day,,,,
p03,Exercise_Calories,mood,-0.1784943554157491,0.2769530079646121,39,Yes,0.5934707313527402,False,False,same_day,,,,
p03,Exercise_Calories,readiness,,,39,Yes,,False,False,same_day,,,,
p03,Exercise_Calories,sleep_quality,,,39,Yes,,False,False,same_day,,,,
p03,Exercise_Calories,stress,0.0646855963973153,0.6956283248323263,39,Yes,0.8931034127661821,False,False,same_day,,,,
p03,Exercise_Avg_HR,fatigue,-0.1366617004533999,0.5242806435045002,24,Yes,0.7997853227851772,False,False,same_day,,,,
p03,Exercise_Avg_HR,mood,0.0506270593142009,0.814262327308516,24,Yes,0.9286917721652733,False,False,same_day,,,,
p03,Exercise_Avg_HR,readiness,,,24,Yes,,False,False,same_day,,,,
p03,Exercise_Avg_HR,sleep_quality,,,24,Yes,,False,False,same_day,,,,
p03,Exercise_Avg_HR,stress,-0.2260937547772615,0.2880846528738611,24,Yes,0.6072041863851874,False,False,same_day,,,,
p03,Sleep_Hours,fatigue,0.2459852879849126,0.2161587359246108,27,Yes,0.5187809662190659,False,False,same_day,,,,
p03,Sleep_Hours,mood,-0.0192835902874244,0.923943315275576,27,Yes,0.970302198072367,False,False,same_day,,,,
p03,Sleep_Hours,readiness,,,27,Yes,,False,False,same_day,,,,
p03,Sleep_Hours,sleep_quality,,,27,Yes,,False,False,same_day,,,,
p03,Sleep_Hours,stress,0.114013274806135,0.5712244618677941,27,Yes,0.8232994101767813,False,False,same_day,,,,
p03,Sleep_Duration_Score,fatigue,0.2535533511085243,0.2019076835724007,27,Yes,0.5056106690510906,False,False,same_day,,,,
p03,Sleep_Duration_Score,mood,0.4469973872805474,0.0194088296264163,27,Yes,0.14678946776281235,True,False,same_day,,,,
p03,Sleep_Duration_Score,readiness,,,27,Yes,,False,False,same_day,,,,
p03,Sleep_Duration_Score,sleep_quality,,,27,Yes,,False,False,same_day,,,,
p03,Sleep_Duration_Score,stress,0.0396177111107069,0.8444572708603528,27,Yes,0.9335252300162542,False,False,same_day,,,,
p03,Deep_Sleep_Minutes,fatigue,-0.0383164262151896,0.8495079593147914,27,Yes,0.9335252300162542,False,False,same_day,,,,
p03,Deep_Sleep_Minutes,mood,-0.3899358378952724,0.0443589855169729,27,Yes,0.2268357213936114,True,False,same_day,,,,
p03,Deep_Sleep_Minutes,readiness,,,27,Yes,,False,False,same_day,,,,
p03,Deep_Sleep_Minutes,sleep_quality,,,27,Yes,,False,False,same_day,,,,
p03,Deep_Sleep_Minutes,stress,0.199628580581138,0.3181279929252068,27,Yes,0.6362559858504137,False,False,same_day,,,,
p03,Sleep_Restlessness,fatigue,0.2672164578670452,0.1778355430718527,27,Yes,0.47074114342549245,False,False,same_day,,,,
p03,Sleep_Restlessness,mood,-0.422129693784892,0.0282829845204999,27,Yes,0.175549559092758,True,False,same_day,,,,
p03,Sleep_Restlessness,readiness,,,27,Yes,,False,False,same_day,,,,
p03,Sleep_Restlessness,sleep_quality,,,27,Yes,,False,False,same_day,,,,
p03,Sleep_Restlessness,stress,-0.0662741006590099,0.7425816346539574,27,Yes,0.9076296729271508,False,False,same_day,,,,
p03,Sleep_Composition,fatigue,0.3724209386350214,0.0557414130702237,27,Yes,0.2598694877925646,False,False,same_day,,,,
p03,Sleep_Composition,mood,-0.009157263423887,0.9638428328695507,27,Yes,0.984629454690801,False,False,same_day,,,,
p03,Sleep_Composition,readiness,,,27,Yes,,False,False,same_day,,,,
