Participant,Objective_Variable,Wellness_Variable,r,p,N,Time_Lag
p04,Sleep_Restlessness,stress,-0.13116330413553798,0.2976614057318444,65,t_to_t+1
p04,Sleep_Composition,fatigue,0.10211957381115623,0.41825137861087375,65,t_to_t+1
p04,Sleep_Composition,mood,0.049522846207884635,0.6952359739118606,65,t_to_t+1
p04,Sleep_Composition,readiness,0.15162512905293618,0.22793038096579862,65,t_to_t+1
p04,Sleep_Composition,sleep_quality,0.07654370183845274,0.5444940631086902,65,t_to_t+1
p04,Sleep_Composition,stress,0.06500873776157218,0.606907775847847,65,t_to_t+1
p04,Sleep_Revitalization,fatigue,0.04556616574329568,0.7185290487194488,65,t_to_t+1
p04,Sleep_Revitalization,mood,0.04700464794059849,0.7100297775040013,65,t_to_t+1
p04,Sleep_Revitalization,readiness,0.3066132561267376,0.0129849578175812,65,t_to_t+1
p04,Sleep_Revitalization,sleep_quality,-0.09441269868076207,0.4544097929976218,65,t_to_t+1
p04,Sleep_Revitalization,stress,-0.07327242404905274,0.5618745170761853,65,t_to_t+1
p04,Sleep_Score,fatigue,0.04632693626817581,0.7140297256665196,65,t_to_t+1
p04,Sleep_Score,mood,0.03161072022148648,0.8026095972447713,65,t_to_t+1
p04,Sleep_Score,readiness,0.17579666393301632,0.16128794412051697,65,t_to_t+1
p04,Sleep_Score,sleep_quality,0.09764399149099962,0.4390443760793711,65,t_to_t+1
p04,Sleep_Score,stress,0.01489915538761194,0.9062288265134452,65,t_to_t+1
p05,Steps,fatigue,,,52,t_to_t+1
p05,Steps,mood,-0.002750145191102971,0.9845622827798372,52,t_to_t+1
p05,Steps,readiness,0.2133050715572545,0.1289369707980708,52,t_to_t+1
p05,Steps,sleep_quality,0.22734101963733536,0.10505414090912321,52,t_to_t+1
p05,Steps,stress,0.041843417260849794,0.7683519895346471,52,t_to_t+1
p05,Exercise_Count,fatigue,0.0,0.9999999999999984,55,t_to_t+1
p05,Exercise_Count,mood,-0.14556006637270674,0.28897741554501577,55,t_to_t+1
p05,Exercise_Count,readiness,0.012573545271584573,0.9274054545819488,55,t_to_t+1
p05,Exercise_Count,sleep_quality,0.14436890075426043,0.2929841827758714,55,t_to_t+1
p05,Exercise_Count,stress,-0.2030331885441875,0.13709863120768648,55,t_to_t+1
p05,Exercise_Duration,fatigue,0.0,0.9999999999999984,55,t_to_t+1
p05,Exercise_Duration,mood,-0.27027117155341857,0.045971346270836204,55,t_to_t+1
p05,Exercise_Duration,readiness,0.05996876771237549,0.6636227445132126,55,t_to_t+1
p05,Exercise_Duration,sleep_quality,0.12817303229391444,0.3510380535739279,55,t_to_t+1
p05,Exercise_Duration,stress,-0.23306020072439784,0.08682486126195067,55,t_to_t+1
p05,Exercise_Distance,fatigue,0.0,0.9999999999999984,55,t_to_t+1
p05,Exercise_Distance,mood,0.012683657235796026,0.9267714422042556,55,t_to_t+1
p05,Exercise_Distance,readiness,0.040622223185119384,0.7684030833109278,55,t_to_t+1
p05,Exercise_Distance,sleep_quality,0.4070400951821506,0.002041704778326142,55,t_to_t+1
p05,Exercise_Distance,stress,0.23196278794815198,0.08836267794761506,55,t_to_t+1
p05,Exercise_Calories,fatigue,0.0,0.9999999999999984,55,t_to_t+1
p05,Exercise_Calories,mood,-0.2696620433748199,0.04648265417056201,55,t_to_t+1
p05,Exercise_Calories,readiness,0.07662291538908664,0.5781991262416468,55,t_to_t+1
p05,Exercise_Calories,sleep_quality,0.13114965011759466,0.339869855945127,55,t_to_t+1
p05,Exercise_Calories,stress,-0.2106234345201727,0.12270484072109414,55,t_to_t+1
p05,Exercise_Avg_HR,fatigue,,,30,t_to_t+1
p05,Exercise_Avg_HR,mood,-0.14766178302692426,0.43616012974102875,30,t_to_t+1
p05,Exercise_Avg_HR,readiness,0.4941624269477079,0.005510429716916077,30,t_to_t+1
p05,Exercise_Avg_HR,sleep_quality,0.09120907000762145,0.6316923011371046,30,t_to_t+1
p05,Exercise_Avg_HR,stress,0.19892734438105875,0.29195134867475914,30,t_to_t+1
p05,Sleep_Hours,fatigue,,,40,t_to_t+1
p05,Sleep_Hours,mood,-0.03927719328753234,0.8098446544127078,40,t_to_t+1
p05,Sleep_Hours,readiness,0.040296119858302094,0.8050059085229337,40,t_to_t+1
p05,Sleep_Hours,sleep_quality,-0.050055204509097534,0.7590484436403033,40,t_to_t+1
p05,Sleep_Hours,stress,-0.07323547025554963,0.6533608058312458,40,t_to_t+1
p05,Sleep_Duration_Score,fatigue,,,39,t_to_t+1
p05,Sleep_Duration_Score,mood,-0.1896415772948137,0.24755471705110543,39,t_to_t+1
p05,Sleep_Duration_Score,readiness,0.03690322585196374,0.8235057124534858,39,t_to_t+1
p05,Sleep_Duration_Score,sleep_quality,-0.12154668269981307,0.4610603328365836,39,t_to_t+1
p05,Sleep_Duration_Score,stress,-0.24381590051390356,0.1347142372051301,39,t_to_t+1
p05,Deep_Sleep_Minutes,fatigue,,,40,t_to_t+1
p05,Deep_Sleep_Minutes,mood,-0.055616102646932314,0.7332110734608852,40,t_to_t+1
p05,Deep_Sleep_Minutes,readiness,-0.03407465443861346,0.8346560481692077,40,t_to_t+1
p05,Deep_Sleep_Minutes,sleep_quality,-0.025769500498060927,0.8745839849241163,40,t_to_t+1
p05,Deep_Sleep_Minutes,stress,-0.19374699792188327,0.23095657578664017,40,t_to_t+1
p05,Sleep_Restlessness,fatigue,,,39,t_to_t+1
p05,Sleep_Restlessness,mood,0.27337731783639496,0.09219266368098115,39,t_to_t+1
p05,Sleep_Restlessness,readiness,0.05321092247320541,0.7476659439692991,39,t_to_t+1
p05,Sleep_Restlessness,sleep_quality,0.09227382682411892,0.576369536458719,39,t_to_t+1
p05,Sleep_Restlessness,stress,0.24530872754149394,0.13226863612394565,39,t_to_t+1
p05,Sleep_Composition,fatigue,,,39,t_to_t+1
p05,Sleep_Composition,mood,-0.09425866053498536,0.5681579069055169,39,t_to_t+1
p05,Sleep_Composition,readiness,0.13080793706895932,0.4273488756256089,39,t_to_t+1
p05,Sleep_Composition,sleep_quality,0.03134887834527078,0.8497397355142234,39,t_to_t+1
p05,Sleep_Composition,stress,-0.14578603821492325,0.37585650058966347,39,t_to_t+1
p05,Sleep_Revitalization,fatigue,,,39,t_to_t+1
p05,Sleep_Revitalization,mood,-0.23395090495421464,0.15172396596253265,39,t_to_t+1
p05,Sleep_Revitalization,readiness,-0.0827229719175124,0.6166129937951236,39,t_to_t+1
p05,Sleep_Revitalization,sleep_quality,0.010168877484912943,0.9510088131180603,39,t_to_t+1
p05,Sleep_Revitalization,stress,-0.25150288268223187,0.12247249171395791,39,t_to_t+1
p05,Sleep_Score,fatigue,,,39,t_to_t+1
p05,Sleep_Score,mood,-0.25479943560658225,0.11748583842047075,39,t_to_t+1
p05,Sleep_Score,readiness,0.024558981745212746,0.8820246991573248,39,t_to_t+1
p05,Sleep_Score,sleep_quality,-0.057964016500639426,0.7259614432364783,39,t_to_t+1
p05,Sleep_Score,stress,-0.3120304985963697,0.053135285084586134,39,t_to_t+1
p06,Steps,fatigue,-0.06531470013025181,0.5883965452686213,71,t_to_t+1
